	sample_id	treatment	ab_count_tmm	ab_name
0	plate_1_171	vehicle	0.3037836162118104	ITGB1
1	plate_5_171	vehicle	0.5146002110405129	ITGB1
2	plate_6_171	vehicle	0.4103307255462767	ITGB1
3	plate_1_169	vehicle	0.294865677369258	ITGB1
6	plate_6_169	vehicle	0.3687107282962531	ITGB1
7	plate_4_172	AG1478	0.2195136658743668	ITGB1
8	plate_5_172	AG1478	0.2430872591198632	ITGB1
10	plate_3_186	AG1478	0.2661949937650173	ITGB1
11	plate_5_186	AG1478	0.2908861090333925	ITGB1
12	plate_1_156	AG1478	0.2846806147039818	ITGB1
13	plate_3_156	AG1478	0.2488298727695548	ITGB1
15	plate_5_156	AG1478	0.3383432919500064	ITGB1
17	plate_2_154	AG1478	0.2476792723844343	ITGB1
18	plate_4_154	AG1478	0.3058272838161049	ITGB1
19	plate_5_154	vehicle	0.4096606868167785	ITGB1
20	plate_1_155	AG1478	0.255731721213035	ITGB1
21	plate_2_155	vehicle	0.3622816866153758	ITGB1
22	plate_6_155	AG1478	0.2305320805294211	ITGB1
24	plate_3_174	AG1478	0.2845733236418761	ITGB1
26	plate_1_183	AG1478	0.4275479338956597	ITGB1
27	plate_2_183	AG1478	0.390502009923286	ITGB1
28	plate_5_183	AG1478	0.2615965018995382	ITGB1
29	plate_6_183	AG1478	0.3815607716288126	ITGB1
30	plate_2_151	AG1478	0.3417288058356293	ITGB1
32	plate_6_151	AG1478	0.3701755782486461	ITGB1
33	plate_1_190	vehicle	0.5604139804044961	ITGB1
35	plate_4_190	AG1478	0.3028635938227074	ITGB1
36	plate_1_173	AG1478	0.3098463319158097	ITGB1
37	plate_2_173	vehicle	0.4947155760919262	ITGB1
38	plate_3_173	vehicle	0.4372387923640212	ITGB1
39	plate_5_173	vehicle	0.3068236176555632	ITGB1
41	plate_1_187	AG1478	0.2856571557298972	ITGB1
42	plate_2_187	vehicle	0.3924542881545542	ITGB1
43	plate_3_187	vehicle	0.3442141914302438	ITGB1
44	plate_4_187	vehicle	0.4540880540721539	ITGB1
45	plate_5_187	AG1478	0.3368367931918298	ITGB1
46	plate_6_187	vehicle	0.353351757603922	ITGB1
47	plate_1_178	AG1478	0.1749031908910807	ITGB1
48	plate_2_178	AG1478	0.2665970244109662	ITGB1
49	plate_1_168	AG1478	0.2467461622447855	ITGB1
50	plate_4_168	vehicle	0.2916664783764945	ITGB1
53	plate_3_185	vehicle	0.2979142598612848	ITGB1
54	plate_4_185	AG1478	0.1876943450371207	ITGB1
55	plate_5_185	AG1478	0.237306812212736	ITGB1
56	plate_5_157	vehicle	0.456439484806337	ITGB1
57	plate_4_181	vehicle	0.4923123370185103	ITGB1
59	plate_1_177	AG1478	0.3319812662373669	ITGB1
61	plate_2_166	AG1478	0.3192582625908126	ITGB1
62	plate_3_166	vehicle	0.3054622183888952	ITGB1
63	plate_2_167	AG1478	0.3350854923993251	ITGB1
64	plate_3_167	AG1478	0.2716910444709292	ITGB1
65	plate_4_167	AG1478	0.2904692816951559	ITGB1
66	plate_6_167	AG1478	0.2747352843347739	ITGB1
68	plate_2_192	vehicle	0.3191107853302007	ITGB1
70	plate_4_192	AG1478	0.2407900486580539	ITGB1
71	plate_1_188	AG1478	0.3396336734133783	ITGB1
72	plate_2_188	AG1478	0.2740360436051215	ITGB1
74	plate_5_188	AG1478	0.3941987334684994	ITGB1
75	plate_1_191	vehicle	0.5206371885774823	ITGB1
76	plate_3_191	vehicle	0.4948868512174026	ITGB1
78	plate_6_191	vehicle	0.4921454889358327	ITGB1
80	plate_3_184	vehicle	0.2957059767916224	ITGB1
81	plate_2_170	vehicle	0.4878553973319055	ITGB1
82	plate_3_170	AG1478	0.2321877549147089	ITGB1
83	plate_1_179	vehicle	0.4309675462809416	ITGB1
