"sampleID","antibodyID","antibody_count","counts_subsampled","count_scaled","treatment","uniquenr","treatment_uniquenr","sample_folder","well_name","plate_row","plate_column","Ab_name","Ab_barcode_nr"
"plate_1_171","ITGB1_98",9560,3314,0.52239167271847,"vehicle",1,"vehicle_1","plate_1",171,"B",9,"ITGB1",98
"plate_5_171","ITGB1_98",38300,4569,0.826192205277173,"vehicle",2,"vehicle_2","plate_5",171,"B",9,"ITGB1",98
"plate_6_171","ITGB1_98",28039,4165,0.728395061728395,"vehicle",3,"vehicle_3","plate_6",171,"B",9,"ITGB1",98
"plate_1_169","ITGB1_98",10742,3378,0.537884289518276,"vehicle",4,"vehicle_4","plate_1",169,"B",7,"ITGB1",98
"plate_2_169","ITGB1_98",8669,2555,0.338658920358267,"AG1478",1,"AG1478_1","plate_2",169,"B",7,"ITGB1",98
"plate_4_169","ITGB1_98",7739,3091,0.468409586056645,"AG1478",2,"AG1478_2","plate_4",169,"B",7,"ITGB1",98
"plate_6_169","ITGB1_98",9636,3792,0.638102154442024,"vehicle",5,"vehicle_5","plate_6",169,"B",7,"ITGB1",98
"plate_4_172","ITGB1_98",8728,2241,0.262648269184217,"AG1478",3,"AG1478_3","plate_4",172,"B",10,"ITGB1",98
"plate_5_172","ITGB1_98",5344,2079,0.223432582909707,"AG1478",4,"AG1478_4","plate_5",172,"B",10,"ITGB1",98
"plate_1_186","ITGB1_98",22680,3047,0.457758412006778,"AG1478",5,"AG1478_5","plate_1",186,"C",12,"ITGB1",98
"plate_3_186","ITGB1_98",11187,2680,0.368917937545389,"AG1478",6,"AG1478_6","plate_3",186,"C",12,"ITGB1",98
"plate_5_186","ITGB1_98",9811,2761,0.388525780682643,"AG1478",7,"AG1478_7","plate_5",186,"C",12,"ITGB1",98
"plate_1_156","ITGB1_98",7969,2894,0.420721374969741,"AG1478",8,"AG1478_8","plate_1",156,"A",6,"ITGB1",98
"plate_3_156","ITGB1_98",5888,2709,0.375938029532801,"AG1478",9,"AG1478_9","plate_3",156,"A",6,"ITGB1",98
"plate_4_156","ITGB1_98",28219,3773,0.633502783829581,"vehicle",6,"vehicle_6","plate_4",156,"A",6,"ITGB1",98
"plate_5_156","ITGB1_98",12505,3222,0.500121036068748,"AG1478",10,"AG1478_10","plate_5",156,"A",6,"ITGB1",98
"plate_1_154","ITGB1_98",10728,2011,0.206971677559913,"AG1478",11,"AG1478_11","plate_1",154,"A",4,"ITGB1",98
"plate_2_154","ITGB1_98",3820,2276,0.271120793996611,"AG1478",12,"AG1478_12","plate_2",154,"A",4,"ITGB1",98
"plate_4_154","ITGB1_98",6923,3060,0.460905349794239,"AG1478",13,"AG1478_13","plate_4",154,"A",4,"ITGB1",98
"plate_5_154","ITGB1_98",20034,3999,0.688211086903897,"vehicle",7,"vehicle_7","plate_5",154,"A",4,"ITGB1",98
"plate_1_155","ITGB1_98",9848,2293,0.27523602033406,"AG1478",14,"AG1478_14","plate_1",155,"A",5,"ITGB1",98
"plate_2_155","ITGB1_98",14318,3495,0.566206729605422,"vehicle",8,"vehicle_8","plate_2",155,"A",5,"ITGB1",98
"plate_6_155","ITGB1_98",8507,2327,0.283466473008957,"AG1478",15,"AG1478_15","plate_6",155,"A",5,"ITGB1",98
"plate_1_174","ITGB1_98",7358,3332,0.526748971193416,"vehicle",9,"vehicle_9","plate_1",174,"B",12,"ITGB1",98
"plate_3_174","ITGB1_98",16362,2986,0.442992011619463,"AG1478",16,"AG1478_16","plate_3",174,"B",12,"ITGB1",98
"plate_5_174","ITGB1_98",6913,2777,0.392398934882595,"AG1478",17,"AG1478_17","plate_5",174,"B",12,"ITGB1",98
"plate_1_183","ITGB1_98",9418,3601,0.591866376180102,"AG1478",18,"AG1478_18","plate_1",183,"C",9,"ITGB1",98
"plate_2_183","ITGB1_98",6693,2987,0.44323408375696,"AG1478",19,"AG1478_19","plate_2",183,"C",9,"ITGB1",98
"plate_5_183","ITGB1_98",3362,2726,0.380053255870249,"AG1478",20,"AG1478_20","plate_5",183,"C",9,"ITGB1",98
"plate_6_183","ITGB1_98",9074,3060,0.460905349794239,"AG1478",21,"AG1478_21","plate_6",183,"C",9,"ITGB1",98
"plate_2_151","ITGB1_98",6691,2743,0.384168482207698,"AG1478",22,"AG1478_22","plate_2",151,"A",1,"ITGB1",98
"plate_5_151","ITGB1_98",5206,2172,0.245945291696926,"AG1478",23,"AG1478_23","plate_5",151,"A",1,"ITGB1",98
"plate_6_151","ITGB1_98",12836,2895,0.420963447107238,"AG1478",24,"AG1478_24","plate_6",151,"A",1,"ITGB1",98
