NOISE	PERT	MISS	ETA	REPEAT	CELLNUM	MISSNAMES	PERTNAMES	EDGENUM	TPR	FPR	EDGES	RMSE	PRECISION	RECALL
0.2	5	11	0.43750000000000006	0	1000	,Ras,Sos,Mek,PI3K,Erk,Akt,P90Rsk,C3G,Rap1,bRaf,Raf1	,Erk,Mek,PI3K,C3G,P90Rsk	13	0.6153846153846154	0.05154639175257732	16	0.16905979126130208	0.6153846153846154	0.6153846153846154
0.2	8	11	0.43750000000000006	0	1000	,Ras,Sos,Mek,PI3K,Erk,Akt,P90Rsk,C3G,Rap1,bRaf,Raf1	,Erk,Mek,PI3K,C3G,P90Rsk,Ras,Raf1,Rap1	13	0.6923076923076923	0.041237113402061855	15	0.11895305024253836	0.6923076923076923	0.6923076923076923
0.2	11	11	0.3812500000000001	0	1000	,Ras,Sos,Mek,PI3K,Erk,Akt,P90Rsk,C3G,Rap1,bRaf,Raf1	,Erk,Mek,PI3K,C3G,P90Rsk,Ras,Raf1,Rap1,Sos,Akt,bRaf	13	0.7692307692307693	0.030927835051546393	16	0.11084734412245532	0.7692307692307693	0.7692307692307693
0.2	5	11	0.3812500000000001	1	1000	,PI3K,C3G,Akt,Sos,Raf1,bRaf,P90Rsk,Erk,Ras,Rap1,Mek	,Ras,Erk,Sos,PI3K,Raf1	13	0.6923076923076923	0.041237113402061855	15	0.14160740503877178	0.6923076923076923	0.6923076923076923
0.2	8	11	0.43750000000000006	1	1000	,PI3K,C3G,Akt,Sos,Raf1,bRaf,P90Rsk,Erk,Ras,Rap1,Mek	,Ras,Erk,Sos,PI3K,Raf1,Rap1,P90Rsk,C3G	13	0.7692307692307693	0.030927835051546393	13	0.10409781828099289	0.7692307692307693	0.7692307692307693
0.2	11	11	0.39531250000000007	1	1000	,PI3K,C3G,Akt,Sos,Raf1,bRaf,P90Rsk,Erk,Ras,Rap1,Mek	,Ras,Erk,Sos,PI3K,Raf1,Rap1,P90Rsk,C3G,Akt,bRaf,Mek	13	0.6923076923076923	0.041237113402061855	15	0.1193596188255398	0.6923076923076923	0.6923076923076923
0.2	5	11	0.43750000000000006	2	1000	,bRaf,PI3K,C3G,Akt,Rap1,Sos,Ras,Raf1,Erk,P90Rsk,Mek	,Rap1,Mek,Ras,Akt,PI3K	13	0.6153846153846154	0.05154639175257732	16	0.16998210898909155	0.6153846153846154	0.6153846153846154
0.2	8	11	0.40937500000000004	2	1000	,bRaf,PI3K,C3G,Akt,Rap1,Sos,Ras,Raf1,Erk,P90Rsk,Mek	,Rap1,Mek,Ras,Akt,PI3K,bRaf,C3G,P90Rsk	13	0.6153846153846154	0.05154639175257732	13	0.17914374548608056	0.6153846153846154	0.6153846153846154
0.2	11	11	0.40937500000000004	2	1000	,bRaf,PI3K,C3G,Akt,Rap1,Sos,Ras,Raf1,Erk,P90Rsk,Mek	,Rap1,Mek,Ras,Akt,PI3K,bRaf,C3G,P90Rsk,Sos,Raf1,Erk	13	0.7692307692307693	0.030927835051546393	14	0.11231587697560451	0.7692307692307693	0.7692307692307693
0.2	5	11	0.3820978814736009	3	1000	,Erk,Rap1,bRaf,Mek,Raf1,C3G,P90Rsk,Ras,Akt,PI3K,Sos	,Mek,C3G,PI3K,Akt,Ras	12	0.6153846153846154	0.041237113402061855	14	0.16996186173627623	0.6666666666666666	0.6153846153846154
0.2	8	11	0.40849609375000007	3	1000	,Erk,Rap1,bRaf,Mek,Raf1,C3G,P90Rsk,Ras,Akt,PI3K,Sos	,Mek,C3G,PI3K,Akt,Ras,Sos,P90Rsk,bRaf	13	0.6153846153846154	0.05154639175257732	13	0.18887352584764294	0.6153846153846154	0.6153846153846154
0.2	11	11	0.45683593750000007	3	1000	,Erk,Rap1,bRaf,Mek,Raf1,C3G,P90Rsk,Ras,Akt,PI3K,Sos	,Mek,C3G,PI3K,Akt,Ras,Sos,P90Rsk,bRaf,Rap1,Raf1,Erk	13	0.6923076923076923	0.041237113402061855	15	0.1370210591215981	0.6923076923076923	0.6923076923076923
0.2	5	11	0.3812500000000001	4	1000	,bRaf,PI3K,Erk,Raf1,Rap1,P90Rsk,C3G,Ras,Mek,Sos,Akt	,Akt,Ras,P90Rsk,Raf1,C3G	13	0.6923076923076923	0.041237113402061855	13	0.1541929076264827	0.6923076923076923	0.6923076923076923
0.2	8	11	0.43750000000000006	4	1000	,bRaf,PI3K,Erk,Raf1,Rap1,P90Rsk,C3G,Ras,Mek,Sos,Akt	,Akt,Ras,P90Rsk,Raf1,C3G,Erk,PI3K,bRaf	13	0.6923076923076923	0.041237113402061855	13	0.1315123493971157	0.6923076923076923	0.6923076923076923
0.2	11	11	0.43750000000000006	4	1000	,bRaf,PI3K,Erk,Raf1,Rap1,P90Rsk,C3G,Ras,Mek,Sos,Akt	,Akt,Ras,P90Rsk,Raf1,C3G,Erk,PI3K,bRaf,Rap1,Mek,Sos	13	0.6923076923076923	0.041237113402061855	13	0.13897287821982127	0.6923076923076923	0.6923076923076923
0.2	5	11	0.3812500000000001	5	1000	,Erk,P90Rsk,Ras,PI3K,Mek,Akt,C3G,Sos,Raf1,bRaf,Rap1	,Akt,PI3K,Raf1,Rap1,C3G	13	0.6153846153846154	0.05154639175257732	13	0.17426021122668806	0.6153846153846154	0.6153846153846154
0.2	8	11	0.36015625000000007	5	1000	,Erk,P90Rsk,Ras,PI3K,Mek,Akt,C3G,Sos,Raf1,bRaf,Rap1	,Akt,PI3K,Raf1,Rap1,C3G,bRaf,P90Rsk,Ras	13	0.6923076923076923	0.041237113402061855	14	0.14967771304244396	0.6923076923076923	0.6923076923076923
0.2	11	11	0.40937500000000004	5	1000	,Erk,P90Rsk,Ras,PI3K,Mek,Akt,C3G,Sos,Raf1,bRaf,Rap1	,Akt,PI3K,Raf1,Rap1,C3G,bRaf,P90Rsk,Ras,Mek,Sos,Erk	13	0.6923076923076923	0.041237113402061855	13	0.1354562946094762	0.6923076923076923	0.6923076923076923
0.2	5	11	0.419921875	6	1000	,Rap1,P90Rsk,C3G,PI3K,Raf1,Akt,bRaf,Sos,Mek,Ras,Erk	,Akt,C3G,PI3K,Sos,bRaf	13	0.6153846153846154	0.05154639175257732	16	0.18659743306882934	0.6153846153846154	0.6153846153846154
0.2	8	11	0.43750000000000006	6	1000	,Rap1,P90Rsk,C3G,PI3K,Raf1,Akt,bRaf,Sos,Mek,Ras,Erk	,Akt,C3G,PI3K,Sos,bRaf,Rap1,Mek,Erk	13	0.6923076923076923	0.041237113402061855	13	0.13947402349372112	0.6923076923076923	0.6923076923076923
0.2	11	11	0.43750000000000006	6	1000	,Rap1,P90Rsk,C3G,PI3K,Raf1,Akt,bRaf,Sos,Mek,Ras,Erk	,Akt,C3G,PI3K,Sos,bRaf,Rap1,Mek,Erk,Raf1,Ras,P90Rsk	13	0.7692307692307693	0.030927835051546393	15	0.10943460301055778	0.7692307692307693	0.7692307692307693
0.2	5	11	0.40937500000000004	7	1000	,Akt,P90Rsk,Erk,Sos,Mek,C3G,PI3K,bRaf,Rap1,Raf1,Ras	,C3G,Ras,Mek,Erk,bRaf	13	0.7692307692307693	0.030927835051546393	15	0.10670074679534906	0.7692307692307693	0.7692307692307693
0.2	8	11	0.46562500000000007	7	1000	,Akt,P90Rsk,Erk,Sos,Mek,C3G,PI3K,bRaf,Rap1,Raf1,Ras	,C3G,Ras,Mek,Erk,bRaf,Sos,Akt,Rap1	13	0.7692307692307693	0.030927835051546393	15	0.0930726685438474	0.7692307692307693	0.7692307692307693
0.2	11	11	0.44453125000000004	7	1000	,Akt,P90Rsk,Erk,Sos,Mek,C3G,PI3K,bRaf,Rap1,Raf1,Ras	,C3G,Ras,Mek,Erk,bRaf,Sos,Akt,Rap1,Raf1,PI3K,P90Rsk	13	0.6923076923076923	0.041237113402061855	15	0.1210230639556763	0.6923076923076923	0.6923076923076923
0.2	5	11	0.40937500000000004	8	1000	,Raf1,Akt,PI3K,C3G,Rap1,Sos,Ras,Mek,P90Rsk,bRaf,Erk	,Mek,PI3K,Raf1,Akt,bRaf	13	0.6153846153846154	0.05154639175257732	13	0.18852924036763127	0.6153846153846154	0.6153846153846154
0.2	8	11	0.3671875000000001	8	1000	,Raf1,Akt,PI3K,C3G,Rap1,Sos,Ras,Mek,P90Rsk,bRaf,Erk	,Mek,PI3K,Raf1,Akt,bRaf,Rap1,P90Rsk,Ras	13	0.6153846153846154	0.05154639175257732	13	0.1692950271994602	0.6153846153846154	0.6153846153846154
0.2	11	11	0.3812500000000001	8	1000	,Raf1,Akt,PI3K,C3G,Rap1,Sos,Ras,Mek,P90Rsk,bRaf,Erk	,Mek,PI3K,Raf1,Akt,bRaf,Rap1,P90Rsk,Ras,Sos,Erk,C3G	13	0.7692307692307693	0.030927835051546393	17	0.1143744662076447	0.7692307692307693	0.7692307692307693
0.2	5	11	0.39267578125	9	1000	,Sos,Ras,Raf1,Rap1,Erk,C3G,P90Rsk,PI3K,Akt,Mek,bRaf	,Raf1,P90Rsk,PI3K,Erk,Mek	13	0.6153846153846154	0.05154639175257732	14	0.1964631823528118	0.6153846153846154	0.6153846153846154
0.2	8	11	0.43750000000000006	9	1000	,Sos,Ras,Raf1,Rap1,Erk,C3G,P90Rsk,PI3K,Akt,Mek,bRaf	,Raf1,P90Rsk,PI3K,Erk,Mek,Ras,Sos,C3G	13	0.7692307692307693	0.030927835051546393	15	0.1228166516941088	0.7692307692307693	0.7692307692307693
0.2	11	11	0.3812500000000001	9	1000	,Sos,Ras,Raf1,Rap1,Erk,C3G,P90Rsk,PI3K,Akt,Mek,bRaf	,Raf1,P90Rsk,PI3K,Erk,Mek,Ras,Sos,C3G,Rap1,bRaf,Akt	13	0.7692307692307693	0.030927835051546393	16	0.11499562537406698	0.7692307692307693	0.7692307692307693
0.2	5	11	0.3812500000000001	10	1000	,Erk,bRaf,Rap1,C3G,Ras,Raf1,Sos,PI3K,Akt,P90Rsk,Mek	,Mek,Raf1,PI3K,bRaf,Akt	13	0.6153846153846154	0.05154639175257732	13	0.1877565252477284	0.6153846153846154	0.6153846153846154
0.2	8	11	0.3803710937500001	10	1000	,Erk,bRaf,Rap1,C3G,Ras,Raf1,Sos,PI3K,Akt,P90Rsk,Mek	,Mek,Raf1,PI3K,bRaf,Akt,Erk,Ras,C3G	13	0.6923076923076923	0.041237113402061855	18	0.13480835132553368	0.6923076923076923	0.6923076923076923
0.2	11	11	0.43750000000000006	10	1000	,Erk,bRaf,Rap1,C3G,Ras,Raf1,Sos,PI3K,Akt,P90Rsk,Mek	,Mek,Raf1,PI3K,bRaf,Akt,Erk,Ras,C3G,Rap1,P90Rsk,Sos	13	0.6923076923076923	0.041237113402061855	14	0.12444165158876108	0.6923076923076923	0.6923076923076923
0.2	5	11	0.4223388671875	11	1000	,Raf1,PI3K,P90Rsk,Sos,Erk,Mek,Ras,Akt,Rap1,C3G,bRaf	,Erk,C3G,Sos,Ras,Mek	13	0.7692307692307693	0.030927835051546393	13	0.10276449885757878	0.7692307692307693	0.7692307692307693
0.2	8	11	0.3812500000000001	11	1000	,Raf1,PI3K,P90Rsk,Sos,Erk,Mek,Ras,Akt,Rap1,C3G,bRaf	,Erk,C3G,Sos,Ras,Mek,PI3K,P90Rsk,Akt	13	0.6153846153846154	0.05154639175257732	13	0.16407883934941636	0.6153846153846154	0.6153846153846154
0.2	11	11	0.49375	11	1000	,Raf1,PI3K,P90Rsk,Sos,Erk,Mek,Ras,Akt,Rap1,C3G,bRaf	,Erk,C3G,Sos,Ras,Mek,PI3K,P90Rsk,Akt,bRaf,Raf1,Rap1	13	0.6923076923076923	0.041237113402061855	16	0.1189485931243429	0.6923076923076923	0.6923076923076923
0.2	5	11	0.43750000000000006	12	1000	,Sos,P90Rsk,Raf1,Ras,Rap1,C3G,bRaf,Akt,Erk,Mek,PI3K	,Rap1,Akt,Ras,Sos,Erk	13	0.6923076923076923	0.041237113402061855	15	0.12036900714628923	0.6923076923076923	0.6923076923076923
0.2	8	11	0.40937500000000004	12	1000	,Sos,P90Rsk,Raf1,Ras,Rap1,C3G,bRaf,Akt,Erk,Mek,PI3K	,Rap1,Akt,Ras,Sos,Erk,bRaf,PI3K,C3G	13	0.6923076923076923	0.041237113402061855	13	0.13798735055527175	0.6923076923076923	0.6923076923076923
0.2	11	11	0.40937500000000004	12	1000	,Sos,P90Rsk,Raf1,Ras,Rap1,C3G,bRaf,Akt,Erk,Mek,PI3K	,Rap1,Akt,Ras,Sos,Erk,bRaf,PI3K,C3G,P90Rsk,Raf1,Mek	13	0.6923076923076923	0.041237113402061855	16	0.11892248199362541	0.6923076923076923	0.6923076923076923
0.2	5	11	0.39531250000000007	13	1000	,Raf1,Mek,Rap1,Ras,P90Rsk,C3G,Sos,PI3K,Akt,bRaf,Erk	,Rap1,Akt,Ras,bRaf,Raf1	13	0.6153846153846154	0.05154639175257732	17	0.15416738963176327	0.6153846153846154	0.6153846153846154
0.2	8	11	0.3812500000000001	13	1000	,Raf1,Mek,Rap1,Ras,P90Rsk,C3G,Sos,PI3K,Akt,bRaf,Erk	,Rap1,Akt,Ras,bRaf,Raf1,P90Rsk,Mek,PI3K	13	0.6153846153846154	0.05154639175257732	13	0.1673960115309681	0.6153846153846154	0.6153846153846154
0.2	11	11	0.3812500000000001	13	1000	,Raf1,Mek,Rap1,Ras,P90Rsk,C3G,Sos,PI3K,Akt,bRaf,Erk	,Rap1,Akt,Ras,bRaf,Raf1,P90Rsk,Mek,PI3K,Sos,Erk,C3G	13	0.6923076923076923	0.041237113402061855	18	0.1191468001488964	0.6923076923076923	0.6923076923076923
0.2	5	11	0.3812500000000001	14	1000	,Akt,Rap1,C3G,bRaf,Erk,Ras,Mek,Raf1,P90Rsk,Sos,PI3K	,Ras,Rap1,P90Rsk,Sos,Akt	13	0.6153846153846154	0.05154639175257732	14	0.15960512078675154	0.6153846153846154	0.6153846153846154
0.2	8	11	0.3812500000000001	14	1000	,Akt,Rap1,C3G,bRaf,Erk,Ras,Mek,Raf1,P90Rsk,Sos,PI3K	,Ras,Rap1,P90Rsk,Sos,Akt,Mek,PI3K,C3G	13	0.6923076923076923	0.041237113402061855	14	0.14890484374609306	0.6923076923076923	0.6923076923076923
0.2	11	11	0.441015625	14	1000	,Akt,Rap1,C3G,bRaf,Erk,Ras,Mek,Raf1,P90Rsk,Sos,PI3K	,Ras,Rap1,P90Rsk,Sos,Akt,Mek,PI3K,C3G,Erk,Raf1,bRaf	13	0.6923076923076923	0.041237113402061855	17	0.13872389024600074	0.6923076923076923	0.6923076923076923
0.2	5	11	0.4603515625000001	15	1000	,P90Rsk,Raf1,Akt,Erk,Mek,C3G,Sos,Ras,bRaf,Rap1,PI3K	,C3G,PI3K,Rap1,Erk,bRaf	13	0.6923076923076923	0.041237113402061855	16	0.1388373309539974	0.6923076923076923	0.6923076923076923
0.2	8	11	0.49375	15	1000	,P90Rsk,Raf1,Akt,Erk,Mek,C3G,Sos,Ras,bRaf,Rap1,PI3K	,C3G,PI3K,Rap1,Erk,bRaf,Mek,Ras,Raf1	13	0.7692307692307693	0.030927835051546393	15	0.1087038259939825	0.7692307692307693	0.7692307692307693
0.2	11	11	0.40937500000000004	15	1000	,P90Rsk,Raf1,Akt,Erk,Mek,C3G,Sos,Ras,bRaf,Rap1,PI3K	,C3G,PI3K,Rap1,Erk,bRaf,Mek,Ras,Raf1,Akt,Sos,P90Rsk	13	0.6923076923076923	0.041237113402061855	13	0.1356306948162963	0.6923076923076923	0.6923076923076923
0.2	5	11	0.3812500000000001	16	1000	,PI3K,C3G,Sos,Akt,Rap1,Ras,Raf1,bRaf,P90Rsk,Mek,Erk	,Sos,PI3K,Akt,Mek,C3G	13	0.5384615384615384	0.061855670103092786	14	0.20407870424994007	0.5384615384615384	0.5384615384615384
0.2	8	11	0.3812500000000001	16	1000	,PI3K,C3G,Sos,Akt,Rap1,Ras,Raf1,bRaf,P90Rsk,Mek,Erk	,Sos,PI3K,Akt,Mek,C3G,Ras,P90Rsk,bRaf	13	0.5384615384615384	0.061855670103092786	13	0.19602828360839492	0.5384615384615384	0.5384615384615384
0.2	11	11	0.45771484375000004	16	1000	,PI3K,C3G,Sos,Akt,Rap1,Ras,Raf1,bRaf,P90Rsk,Mek,Erk	,Sos,PI3K,Akt,Mek,C3G,Ras,P90Rsk,bRaf,Raf1,Erk,Rap1	13	0.6923076923076923	0.041237113402061855	13	0.13745335069936349	0.6923076923076923	0.6923076923076923
0.2	5	11	0.32500000000000007	17	1000	,bRaf,Mek,P90Rsk,Akt,PI3K,C3G,Erk,Raf1,Rap1,Ras,Sos	,Mek,Raf1,Sos,PI3K,C3G	13	0.6153846153846154	0.05154639175257732	13	0.18611857483841904	0.6153846153846154	0.6153846153846154
0.2	8	11	0.3812500000000001	17	1000	,bRaf,Mek,P90Rsk,Akt,PI3K,C3G,Erk,Raf1,Rap1,Ras,Sos	,Mek,Raf1,Sos,PI3K,C3G,Ras,Akt,bRaf	13	0.6923076923076923	0.041237113402061855	14	0.1598987849530589	0.6923076923076923	0.6923076923076923
