NOISE	PERT	MISS	ETA	REPEAT	CELLNUM	MISSNAMES	PERTNAMES	EDGENUM	TPR	FPR	EDGES	RMSE	PRECISION	RECALL
0.2	3	11	0.494096670486033	0	1000	,bRaf,PI3K,Mek,Sos,Akt,P90Rsk,Raf1,C3G,Ras,Rap1,Erk	,Akt,C3G,Ras	14	0.6153846153846154	0.061855670103092786	16	0.1871379033503632	0.5714285714285714	0.6153846153846154
0.2	6	11	0.3531250000000001	0	1000	,bRaf,PI3K,Mek,Sos,Akt,P90Rsk,Raf1,C3G,Ras,Rap1,Erk	,Akt,C3G,Ras,Sos,P90Rsk,PI3K	13	0.6153846153846154	0.05154639175257732	14	0.17512135914209173	0.6153846153846154	0.6153846153846154
0.2	9	11	0.3812500000000001	0	1000	,bRaf,PI3K,Mek,Sos,Akt,P90Rsk,Raf1,C3G,Ras,Rap1,Erk	,Akt,C3G,Ras,Sos,P90Rsk,PI3K,Mek,Raf1,bRaf	13	0.6923076923076923	0.041237113402061855	13	0.16488454258959634	0.6923076923076923	0.6923076923076923
0.2	3	11	0.4234375	1	1000	,PI3K,C3G,Rap1,Akt,Raf1,Erk,Sos,bRaf,Mek,P90Rsk,Ras	,bRaf,Ras,PI3K	13	0.6923076923076923	0.041237113402061855	13	0.1620977228148662	0.6923076923076923	0.6923076923076923
0.2	6	11	0.43750000000000006	1	1000	,PI3K,C3G,Rap1,Akt,Raf1,Erk,Sos,bRaf,Mek,P90Rsk,Ras	,bRaf,Ras,PI3K,Raf1,Rap1,Mek	13	0.6923076923076923	0.041237113402061855	15	0.154688161590393	0.6923076923076923	0.6923076923076923
0.2	9	11	0.4234375	1	1000	,PI3K,C3G,Rap1,Akt,Raf1,Erk,Sos,bRaf,Mek,P90Rsk,Ras	,bRaf,Ras,PI3K,Raf1,Rap1,Mek,Erk,P90Rsk,C3G	13	0.6923076923076923	0.041237113402061855	17	0.12187087806653496	0.6923076923076923	0.6923076923076923
0.2	3	11	0.43750000000000006	2	1000	,bRaf,Raf1,P90Rsk,Akt,Mek,Sos,Rap1,Ras,C3G,Erk,PI3K	,Sos,bRaf,Erk	13	0.6923076923076923	0.041237113402061855	13	0.15678362020577358	0.6923076923076923	0.6923076923076923
0.2	6	11	0.43750000000000006	2	1000	,bRaf,Raf1,P90Rsk,Akt,Mek,Sos,Rap1,Ras,C3G,Erk,PI3K	,Sos,bRaf,Erk,Raf1,Mek,Akt	13	0.6923076923076923	0.041237113402061855	16	0.152669591480628	0.6923076923076923	0.6923076923076923
0.2	9	11	0.40937500000000004	2	1000	,bRaf,Raf1,P90Rsk,Akt,Mek,Sos,Rap1,Ras,C3G,Erk,PI3K	,Sos,bRaf,Erk,Raf1,Mek,Akt,PI3K,C3G,Rap1	13	0.6923076923076923	0.041237113402061855	13	0.13895595727611798	0.6923076923076923	0.6923076923076923
0.2	3	11	0.3812500000000001	3	1000	,Raf1,Mek,P90Rsk,Rap1,bRaf,Erk,C3G,Akt,Sos,Ras,PI3K	,bRaf,P90Rsk,Raf1	13	0.6153846153846154	0.05154639175257732	13	0.18747374203911035	0.6153846153846154	0.6153846153846154
