,etas,edges,error
0,0.0001,88,0.0010037419193864258
1,0.0003,71,0.0010043943608354809
2,0.0006,58,0.0010055222140385814
3,0.001,45,0.0010075090183078717
4,0.002,41,0.001008712143775896
5,0.01,27,0.0010188854219351643
6,0.02,20,0.001036824964946678
7,0.03,16,0.0010561899011028474
8,0.04,14,0.001068918164380412
9,0.05,14,0.0010689181643804117
10,0.1,13,0.00108374272509108
11,0.2,11,0.0011358719834286698
12,0.3,10,0.0011842390506639966
13,0.4,10,0.0011842390506639961
14,0.5,8,0.0014611660498000296
15,0.6,8,0.0014611660498000296
16,0.65,8,0.0014611660498000296
17,0.7,8,0.0014611660498000292
18,0.735,6,0.0024005743738563976
19,0.77,6,0.002400574373856397
20,0.8,6,0.0024005743738563976
