	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.539753476000737	0.0	0.0	0.0	-0.3156819781471572	0.0	0.0	0.0	0.0	0.0
Ras	0.9840509808657278	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.3116779542540158	0.6796330364532875	-1.0	0.0	0.0	0.0	0.0	-0.38281244168654627	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8217217466112496
Erk	0.0	0.0	0.0	0.9674610171814612	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.9368678515195866	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.37249046373101574	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.963244974362069	-1.0	0.0
bRaf	0.0	0.13556561988988564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8080185403769335	-1.0
