NOISE	PERT	MISS	ETA	REPEAT	TPR	FPR	EDGES	RMSE
0.1	0.0	0.0	0.05041836995656031	1.0	0.9230769230769231	0.010309278350515464	13	0.051902291332083135
0.1	0.0	0.0	0.06249288122173499	2.0	0.9230769230769231	0.010309278350515464	13	0.04918142722489443
0.1	0.0	0.0	0.0486097309085486	3.0	0.9230769230769231	0.010309278350515464	13	0.05298670023148977
0.1	0.0	0.0	0.048597263469471116	4.0	0.9230769230769231	0.010309278350515464	13	0.05399031904891242
0.1	0.0	0.0	0.06373411121291458	5.0	0.9230769230769231	0.010309278350515464	13	0.0536967348401657
0.1	0.0	11.0	0.5250842434393256	1.0	0.5384615384615384	0.07216494845360824	14	0.25231482387427395
0.1	0.0	11.0	0.5175252875265567	2.0	0.5384615384615384	0.08247422680412371	15	0.2625613421988511
0.1	0.0	11.0	0.5161453831397939	3.0	0.5384615384615384	0.07216494845360824	14	0.2538537750589302
0.1	0.0	11.0	0.5277523390690532	4.0	0.5384615384615384	0.07216494845360824	14	0.2548723936332938
0.1	0.0	11.0	0.5050607527278366	5.0	0.5384615384615384	0.08247422680412371	15	0.2600514272861426
0.1	4.0	0.0	0.4660104197677344	1.0	0.6923076923076923	0.030927835051546393	12	0.11823156310648408
0.1	4.0	0.0	0.5354474054773657	2.0	0.6923076923076923	0.030927835051546393	12	0.07338489568972427
0.1	4.0	0.0	0.4938044463831749	3.0	0.7692307692307693	0.030927835051546393	13	0.06460570060358609
0.1	4.0	0.0	0.28192474914659593	4.0	0.7692307692307693	0.020618556701030927	12	0.04824168328495766
0.1	4.0	0.0	0.4162133255047183	5.0	0.7692307692307693	0.030927835051546393	13	0.061917476772898355
0.1	4.0	11.0	0.6991309290407353	1.0	0.6923076923076923	0.05154639175257732	14	0.18200413567377777
0.1	4.0	11.0	0.685488475930799	2.0	0.6923076923076923	0.030927835051546393	14	0.18135121815809152
0.1	4.0	11.0	0.7011683173088583	3.0	0.6153846153846154	0.05154639175257732	15	0.18635810529657723
0.1	4.0	11.0	0.7540704149171291	4.0	0.7692307692307693	0.05154639175257732	15	0.17814709408205046
0.1	4.0	11.0	0.6967538371366776	5.0	0.6153846153846154	0.05154639175257732	15	0.18961941527610876
0.1	11.0	0.0	0.455498037965308	1.0	0.7692307692307693	0.030927835051546393	13	0.05262163125091544
0.1	11.0	0.0	0.48243584772230835	2.0	0.7692307692307693	0.030927835051546393	13	0.06622751518304588
0.1	11.0	0.0	0.4565865543698257	3.0	0.7692307692307693	0.030927835051546393	13	0.06121021398058201
0.1	11.0	0.0	0.48732633483928195	4.0	0.7692307692307693	0.030927835051546393	13	0.07778453125064214
0.1	11.0	0.0	0.4757399491680249	5.0	0.7692307692307693	0.030927835051546393	13	0.09375669968442168
0.1	11.0	11.0	0.7371266902005442	1.0	0.7692307692307693	0.05154639175257732	15	0.17902059124272846
0.1	11.0	11.0	0.7111650269078388	2.0	0.7692307692307693	0.041237113402061855	14	0.17770343391877796
0.1	11.0	11.0	0.7189296364616828	3.0	0.6923076923076923	0.05154639175257732	14	0.18384548889855942
0.1	11.0	11.0	0.735757121562195	4.0	0.6923076923076923	0.05154639175257732	14	0.19075371371029753
0.1	11.0	11.0	0.7273120125505483	5.0	0.7692307692307693	0.05154639175257732	15	0.18142223775928062
