NOISE	PERT	MISS	ETA	REPEAT	TPR	FPR	EDGES	RMSE
0.2	0.0	0.0	0.2202499072350943	1.0	0.8461538461538461	0.020618556701030927	13	0.07293183843537468
0.2	0.0	0.0	0.1840222419271757	2.0	0.8461538461538461	0.020618556701030927	13	0.07528812422418585
0.2	0.0	0.0	0.1865371652467384	3.0	0.7692307692307693	0.030927835051546393	13	0.07476285108953137
0.2	0.0	0.0	0.26411805257753646	4.0	0.8461538461538461	0.020618556701030927	13	0.07948246897874915
0.2	0.0	0.0	0.2071604446726545	5.0	0.8461538461538461	0.020618556701030927	13	0.07533587884152372
0.2	0.0	5.0	0.47611801755838573	1.0	0.5384615384615384	0.061855670103092786	13	0.21664345850091038
0.2	0.0	5.0	0.2692939246325235	2.0	0.7692307692307693	0.030927835051546393	13	0.12542527041732265
0.2	0.0	5.0	0.1866196219394207	3.0	0.7692307692307693	0.020618556701030927	12	0.0998426122755482
0.2	0.0	5.0	0.4726290465788292	4.0	0.6153846153846154	0.05154639175257732	13	0.18548514174183134
0.2	0.0	5.0	0.3393351334431161	5.0	0.6923076923076923	0.041237113402061855	13	0.14804339580316372
0.2	0.0	11.0	0.6333200256386804	1.0	0.5384615384615384	0.08247422680412371	15	0.2260330652322042
0.2	0.0	11.0	0.6829097268419485	2.0	0.5384615384615384	0.061855670103092786	13	0.22247226859919406
0.2	0.0	11.0	0.6766312582241525	3.0	0.5384615384615384	0.08247422680412371	15	0.22841458609310689
0.2	0.0	11.0	0.679735657198438	4.0	0.5384615384615384	0.07216494845360824	14	0.22465322483479305
0.2	0.0	11.0	0.6337649662061694	5.0	0.5384615384615384	0.08247422680412371	15	0.22844522415403842
0.2	4.0	0.0	0.5886331236002396	1.0	0.7692307692307693	0.020618556701030927	12	0.052777463204173716
0.2	4.0	0.0	0.6077244402392493	2.0	0.7692307692307693	0.030927835051546393	13	0.07617171585219858
0.2	4.0	0.0	0.5870145270016531	3.0	0.6923076923076923	0.041237113402061855	13	0.11342350636996865
0.2	4.0	0.0	0.6287244696707268	4.0	0.7692307692307693	0.030927835051546393	13	0.07953528406778318
0.2	4.0	0.0	0.5864824368345893	5.0	0.7692307692307693	0.030927835051546393	13	0.06712087616921432
0.2	4.0	5.0	0.7677725139365347	1.0	0.6153846153846154	0.061855670103092786	14	0.1396054150185687
0.2	4.0	5.0	0.5787946354920461	2.0	0.6923076923076923	0.041237113402061855	13	0.11984760761437178
0.2	4.0	5.0	0.5925207941960753	3.0	0.6153846153846154	0.05154639175257732	13	0.14908384177149273
0.2	4.0	5.0	0.8569216879693731	4.0	0.6153846153846154	0.041237113402061855	12	0.14784602786807682
0.2	4.0	5.0	0.759119023994002	5.0	0.5384615384615384	0.061855670103092786	13	0.18467300498150782
0.2	4.0	11.0	0.8175030476149526	1.0	0.5384615384615384	0.061855670103092786	13	0.2066815011153207
0.2	4.0	11.0	0.9038490942490285	2.0	0.5384615384615384	0.07216494845360824	14	0.19992765026450096
0.2	4.0	11.0	0.8770045903854107	3.0	0.46153846153846156	0.07216494845360824	13	0.2055965890222077
0.2	4.0	11.0	0.9246791918994186	4.0	0.46153846153846156	0.061855670103092786	12	0.20806781114330067
0.2	4.0	11.0	0.8588943366700633	5.0	0.46153846153846156	0.09278350515463918	15	0.2144729341495537
0.2	8.0	0.0	0.6744660589814666	1.0	0.6923076923076923	0.030927835051546393	12	0.08981265287928061
0.2	8.0	0.0	0.6372788593829789	2.0	0.7692307692307693	0.030927835051546393	13	0.08359236503547948
0.2	8.0	0.0	0.6252268006310248	3.0	0.7692307692307693	0.030927835051546393	13	0.08260798660436311
0.2	8.0	0.0	0.6217269021801819	4.0	0.7692307692307693	0.041237113402061855	14	0.0934387268039084
0.2	8.0	0.0	0.6333858098708258	5.0	0.7692307692307693	0.041237113402061855	14	0.08259601829287833
0.2	8.0	5.0	0.8532074852198999	1.0	0.8461538461538461	0.05154639175257732	16	0.14029359562496616
0.2	8.0	5.0	0.7566631988622375	2.0	0.6923076923076923	0.030927835051546393	12	0.10608387871032096
0.2	8.0	5.0	0.765617695964715	3.0	0.6923076923076923	0.061855670103092786	15	0.13770818783319616
0.2	8.0	5.0	0.8310002555359195	4.0	0.7692307692307693	0.041237113402061855	14	0.10991670329864103
0.2	8.0	5.0	0.721230189143576	5.0	0.6153846153846154	0.061855670103092786	14	0.16078867470352542
0.2	8.0	11.0	0.8889583648404503	1.0	0.5384615384615384	0.07216494845360824	14	0.20517698997248504
0.2	8.0	11.0	0.9012010285381576	2.0	0.5384615384615384	0.07216494845360824	14	0.1992492002763566
0.2	8.0	11.0	0.8770668279265368	3.0	0.5384615384615384	0.07216494845360824	14	0.2034361850866882
0.2	8.0	11.0	0.8805506614902363	4.0	0.5384615384615384	0.07216494845360824	14	0.20150638796913975
0.2	8.0	11.0	0.9153011800395269	5.0	0.5384615384615384	0.07216494845360824	14	0.20348661461453987
0.2	11.0	0.0	0.6602429110815295	1.0	0.7692307692307693	0.030927835051546393	13	0.08429814605968856
0.2	11.0	0.0	0.6669306969348369	2.0	0.7692307692307693	0.030927835051546393	13	0.08072131752016458
0.2	11.0	0.0	0.6573441272004742	3.0	0.6923076923076923	0.041237113402061855	13	0.09578219090781626
0.2	11.0	0.0	0.6746058364166607	4.0	0.6923076923076923	0.041237113402061855	13	0.08438574405091688
0.2	11.0	0.0	0.6508713519751231	5.0	0.7692307692307693	0.030927835051546393	13	0.07436679852851566
0.2	11.0	5.0	0.8618028506345705	1.0	0.6923076923076923	0.08247422680412371	19	0.14759803503015795
0.2	11.0	5.0	0.7701226363344112	2.0	0.7692307692307693	0.05154639175257732	15	0.14112487530387974
0.2	11.0	5.0	0.8025848458590931	3.0	0.7692307692307693	0.05154639175257732	15	0.1448908913535658
0.2	11.0	5.0	0.7718875229622629	4.0	0.5384615384615384	0.061855670103092786	13	0.16945696701246735
0.2	11.0	5.0	0.8038641076663995	5.0	0.7692307692307693	0.061855670103092786	16	0.1453059607988179
0.2	11.0	11.0	0.8930035652678288	1.0	0.5384615384615384	0.061855670103092786	16	0.2091928469157513
0.2	11.0	11.0	0.8964901368497197	2.0	0.6153846153846154	0.07216494845360824	15	0.20139182819295048
0.2	11.0	11.0	0.8920065606101613	3.0	0.6153846153846154	0.07216494845360824	15	0.19859831915343815
0.2	11.0	11.0	0.9050935607006928	4.0	0.5384615384615384	0.07216494845360824	17	0.202071005014932
0.2	11.0	11.0	0.9018462735741807	5.0	0.5384615384615384	0.07216494845360824	14	0.1999869422329975
