PROTEIN_A	PROTEIN_B	RLOC_RECONSTRUCTED	TYPE	RLOC_TRUE	MIN	MAX
Sos	Sos	-1.0	wt	-1.0	-1.0	-1.0
Sos	Sos	-1.0	braf	-1.0	-1.0	-1.0
Ras	Sos	0.8767805526277923	wt	0.9998774019578068	0.7585009569289944	0.9869915000122245
Ras	Sos	0.8767805526277923	braf	0.999990220027183	0.7585009569289944	0.9869915000122245
Raf1	Sos	0.366914376228212	wt	0.0	0.22728959295312254	0.5070719518855836
Raf1	Sos	0.37363125151359655	braf	0.0	0.22728959295312254	0.5070719518855836
Mek	Sos	0.0	wt	0.0	0.0	0.0
Mek	Sos	0.0	braf	0.0	0.0	0.0
Erk	Sos	0.0	wt	0.0	0.0	0.0
Erk	Sos	0.0	braf	0.0	0.0	0.0
P90Rsk	Sos	0.0	wt	0.0	0.0	0.0
P90Rsk	Sos	0.0	braf	0.0	0.0	0.0
PI3K	Sos	0.0	wt	0.0	0.0	0.0
PI3K	Sos	0.0	braf	0.0	0.0	0.0
Akt	Sos	0.0	wt	0.0	0.0	0.0
Akt	Sos	0.0	braf	0.0	0.0	0.0
C3G	Sos	0.0	wt	0.0	0.0	0.0
C3G	Sos	0.0	braf	0.0	0.0	0.0
Rap1	Sos	0.0	wt	0.0	0.0	0.0
Rap1	Sos	0.0	braf	0.0	0.0	0.0
bRaf	Sos	0.029325193113783538	wt	0.0	0.0	0.178621310218616
bRaf	Sos	0.0026781339080152833	braf	0.0	-0.027462459224383843	0.07360468459037099
Sos	Ras	0.5102889647824188	wt	0.0	0.41694667938495333	0.6265114423444735
Sos	Ras	0.5178222405163881	braf	0.0	0.41694667938495333	0.6471418953528469
Ras	Ras	-1.0	wt	-1.0	-1.0	-1.0
Ras	Ras	-1.0	braf	-1.0	-1.0	-1.0
Raf1	Ras	0.6146930325334516	wt	1.0013925331456877	0.4780492701923357	0.777360353243194
Raf1	Ras	0.6146930325334516	braf	1.0001113629284442	0.4780492701923357	0.777360353243194
Mek	Ras	0.0	wt	0.0	0.0	0.0
Mek	Ras	0.0	braf	0.0	0.0	0.0
Erk	Ras	0.0	wt	0.0	0.0	0.0
Erk	Ras	0.0	braf	0.0	0.0	0.0
P90Rsk	Ras	0.0	wt	0.0	0.0	0.0
P90Rsk	Ras	0.0	braf	0.0	0.0	0.0
PI3K	Ras	0.0	wt	0.0001762587170782	0.0	0.0
PI3K	Ras	0.0	braf	1.41157741424e-05	0.0	0.0
Akt	Ras	0.0	wt	0.0	0.0	0.0
Akt	Ras	0.0	braf	0.0	0.0	0.0
C3G	Ras	0.0	wt	0.0	0.0	0.0
C3G	Ras	0.0	braf	0.0	0.0	0.0
Rap1	Ras	0.0	wt	0.0	0.0	0.0
Rap1	Ras	0.0	braf	0.0	0.0	0.0
bRaf	Ras	0.014106727449156031	wt	0.1659859122927044	0.0	0.14344201934498446
bRaf	Ras	-0.0021781384026749355	braf	0.0073753626155195	-0.02610028005421596	0.0
Sos	Raf1	0.0	wt	0.0	0.0	0.0
Sos	Raf1	0.0	braf	0.0	0.0	0.0
Ras	Raf1	0.09791437487815155	wt	0.0	0.0	0.21868038286500235
Ras	Raf1	0.09791437487815155	braf	0.0	0.0	0.21868038286500235
Raf1	Raf1	-1.0	wt	-1.0	-1.0	-1.0
Raf1	Raf1	-1.0	braf	-1.0	-1.0	-1.0
Mek	Raf1	0.0	wt	0.0871738771693602	0.0	0.0
Mek	Raf1	0.0	braf	0.0	0.0	0.0
Erk	Raf1	0.0	wt	0.0	0.0	0.0
Erk	Raf1	0.0	braf	0.0	0.0	0.0
P90Rsk	Raf1	0.0	wt	0.0	0.0	0.0
P90Rsk	Raf1	0.0	braf	0.0	0.0	0.0
PI3K	Raf1	0.0	wt	0.0	0.0	0.0
PI3K	Raf1	0.0	braf	0.0	0.0	0.0
Akt	Raf1	0.0	wt	0.0	0.0	0.0
Akt	Raf1	0.0	braf	0.0	0.0	0.0
C3G	Raf1	0.0	wt	0.0	0.0	0.0
C3G	Raf1	0.0	braf	0.0	0.0	0.0
Rap1	Raf1	0.0	wt	0.0	0.0	0.0
Rap1	Raf1	0.0	braf	0.0	0.0	0.0
bRaf	Raf1	0.0	wt	0.0	0.0	0.0
bRaf	Raf1	0.0	braf	0.0	0.0	0.0
Sos	Mek	0.0	wt	0.0	0.0	0.0
Sos	Mek	0.0	braf	0.0	0.0	0.0
Ras	Mek	0.0	wt	0.0	0.0	0.0
Ras	Mek	0.0	braf	0.0	0.0	0.0
Raf1	Mek	0.0	wt	0.0	0.0	0.0
Raf1	Mek	0.0	braf	0.0	0.0	0.0
Mek	Mek	-1.0	wt	-1.0	-1.0	-1.0
Mek	Mek	-1.0	braf	-1.0	-1.0	-1.0
Erk	Mek	0.9652153240970394	wt	0.9916778180122656	0.9043002088801632	1.0212248943573095
Erk	Mek	0.051085050685946466	braf	0.049400761285931	0.02272373091959083	0.0677153649822957
P90Rsk	Mek	0.0	wt	0.0	0.0	0.0
P90Rsk	Mek	0.0	braf	0.0	0.0	0.0
PI3K	Mek	0.0	wt	0.0	0.0	0.0
PI3K	Mek	0.0	braf	0.0	0.0	0.0
Akt	Mek	0.0	wt	0.0	0.0	0.0
Akt	Mek	0.0	braf	0.0	0.0	0.0
C3G	Mek	0.0	wt	0.0	0.0	0.0
C3G	Mek	0.0	braf	0.0	0.0	0.0
Rap1	Mek	0.0	wt	0.0	0.0	0.0
Rap1	Mek	0.0	braf	0.0	0.0	0.0
bRaf	Mek	0.0	wt	0.0	0.0	0.0
