PROTEIN_A	PROTEIN_B	RLOC_RECONSTRUCTED	TYPE	RLOC_TRUE	MIN	MAX
Sos	Sos	-1.0	wt	-1.0	-1.0	-1.0
Sos	Sos	-1.0	ras	-1.0	-1.0	-1.0
Ras	Sos	0.956058936842763	wt	0.9998774019578068	0.8940706970363875	1.0135998940639703
Ras	Sos	0.956058936842763	ras	0.9970313170888132	0.8940706970363875	1.0135998940639703
Raf1	Sos	0.19763676400615676	wt	0.0	0.0	0.4248483230261883
Raf1	Sos	0.19763676400615676	ras	0.0	0.0	0.4248483230261883
Mek	Sos	0.0	wt	0.0	0.0	0.0
Mek	Sos	0.0	ras	0.0	0.0	0.0
Erk	Sos	0.0	wt	0.0	0.0	0.0
Erk	Sos	0.0	ras	0.0	0.0	0.0
P90Rsk	Sos	0.0	wt	0.0	0.0	0.0
P90Rsk	Sos	0.0	ras	0.0	0.0	0.0
PI3K	Sos	0.0	wt	0.0	0.0	0.0
PI3K	Sos	0.0	ras	0.0	0.0	0.0
Akt	Sos	0.0	wt	0.0	0.0	0.0
Akt	Sos	0.0	ras	0.0	0.0	0.0
C3G	Sos	0.0	wt	0.0	0.0	0.0
C3G	Sos	0.0	ras	0.0	0.0	0.0
Rap1	Sos	0.0	wt	0.0	0.0	0.0
Rap1	Sos	0.0	ras	0.0	0.0	0.0
bRaf	Sos	0.0	wt	0.0	0.0	0.0
bRaf	Sos	0.0	ras	0.0	0.0	0.0
Sos	Ras	0.47411320144724894	wt	0.0	0.37232242389013237	0.5480155629784119
Sos	Ras	0.47411320144724894	ras	0.0	0.37232242389013237	0.5480155629784119
Ras	Ras	-1.0	wt	-1.0	-1.0	-1.0
Ras	Ras	-1.0	ras	-1.0	-1.0	-1.0
Raf1	Ras	0.7818037725260742	wt	1.0013925331456877	0.5803687787763288	1.0006673342662609
Raf1	Ras	0.7818037725260742	ras	1.0317132814301304	0.5803687787763288	1.0006673342662609
Mek	Ras	0.0	wt	0.0	0.0	0.0
Mek	Ras	0.0	ras	0.0	0.0	0.0
Erk	Ras	0.0	wt	0.0	0.0	0.0
Erk	Ras	0.0	ras	0.0	0.0	0.0
P90Rsk	Ras	0.0	wt	0.0	0.0	0.0
P90Rsk	Ras	0.0	ras	0.0	0.0	0.0
PI3K	Ras	0.0	wt	0.0001762587170782	0.0	0.0
PI3K	Ras	0.0	ras	0.0038868351183246	0.0	0.0
Akt	Ras	0.0	wt	0.0	0.0	0.0
Akt	Ras	0.0	ras	0.0	0.0	0.0
C3G	Ras	0.0	wt	0.0	0.0	0.0
C3G	Ras	0.0	ras	0.0	0.0	0.0
Rap1	Ras	0.0	wt	0.0	0.0	0.0
Rap1	Ras	0.0	ras	0.0	0.0	0.0
bRaf	Ras	0.1430764725613168	wt	0.1659859122927044	0.12301868748417358	0.1694604677817109
bRaf	Ras	0.8799629684094903	ras	0.9155959199208716	0.808500798778479	0.9395172325236328
Sos	Raf1	0.0	wt	0.0	0.0	0.0
Sos	Raf1	0.0	ras	0.0	0.0	0.0
Ras	Raf1	0.0	wt	0.0	0.0	0.0
Ras	Raf1	0.0	ras	0.0	0.0	0.0
Raf1	Raf1	-1.0	wt	-1.0	-1.0	-1.0
Raf1	Raf1	-1.0	ras	-1.0	-1.0	-1.0
Mek	Raf1	0.03837468197335615	wt	0.0871738771693602	0.0	0.14244135332089342
Mek	Raf1	0.08846389942738914	ras	0.3124868635345946	0.0	0.36552699046047366
Erk	Raf1	0.0	wt	0.0	0.0	0.0
Erk	Raf1	0.0	ras	0.0	0.0	0.0
P90Rsk	Raf1	0.0	wt	0.0	0.0	0.0
P90Rsk	Raf1	0.0	ras	0.0	0.0	0.0
PI3K	Raf1	0.0	wt	0.0	0.0	0.0
PI3K	Raf1	0.0	ras	0.0	0.0	0.0
Akt	Raf1	0.0	wt	0.0	0.0	0.0
Akt	Raf1	0.0	ras	0.0	0.0	0.0
C3G	Raf1	0.0	wt	0.0	0.0	0.0
C3G	Raf1	0.0	ras	0.0	0.0	0.0
Rap1	Raf1	0.0	wt	0.0	0.0	0.0
Rap1	Raf1	0.0	ras	0.0	0.0	0.0
bRaf	Raf1	0.0	wt	0.0	0.0	0.0
bRaf	Raf1	0.0	ras	0.0	0.0	0.0
Sos	Mek	0.0	wt	0.0	0.0	0.0
Sos	Mek	0.0	ras	0.0	0.0	0.0
Ras	Mek	0.0	wt	0.0	0.0	0.0
Ras	Mek	0.0	ras	0.0	0.0	0.0
Raf1	Mek	0.0	wt	0.0	0.0	0.0
Raf1	Mek	0.0	ras	0.0	0.0	0.0
Mek	Mek	-1.0	wt	-1.0	-1.0	-1.0
Mek	Mek	-1.0	ras	-1.0	-1.0	-1.0
Erk	Mek	0.9191804500625583	wt	0.9916778180122656	0.8689988364662787	0.9522283765031625
Erk	Mek	0.9191804500625583	ras	0.9396687380105804	0.8689988364662787	0.9522283765031625
P90Rsk	Mek	0.0	wt	0.0	0.0	0.0
P90Rsk	Mek	0.0	ras	0.0	0.0	0.0
PI3K	Mek	0.0	wt	0.0	0.0	0.0
PI3K	Mek	0.0	ras	0.0	0.0	0.0
Akt	Mek	0.0	wt	0.0	0.0	0.0
Akt	Mek	0.0	ras	0.0	0.0	0.0
C3G	Mek	0.0	wt	0.0	0.0	0.0
C3G	Mek	0.0	ras	0.0	0.0	0.0
Rap1	Mek	0.0	wt	0.0	0.0	0.0
Rap1	Mek	0.0	ras	0.0	0.0	0.0
bRaf	Mek	0.0	wt	0.0	0.0	0.0
bRaf	Mek	0.0	ras	0.0	0.0	0.0
Sos	Erk	0.0	wt	0.0	0.0	0.0
Sos	Erk	0.0	ras	0.0	0.0	0.0
Ras	Erk	0.0	wt	0.0	0.0	0.0
Ras	Erk	0.0	ras	0.0	0.0	0.0
Raf1	Erk	0.0	wt	0.0	0.0	0.0
Raf1	Erk	0.0	ras	0.0	0.0	0.0
Mek	Erk	0.0	wt	0.0	0.0	0.0
Mek	Erk	0.0	ras	0.0	0.0	0.0
Erk	Erk	-1.0	wt	-1.0	-1.0	-1.0
Erk	Erk	-1.0	ras	-1.0	-1.0	-1.0
P90Rsk	Erk	0.8976400817847597	wt	0.956689667370709	0.7852206435854062	0.9697397500858846
P90Rsk	Erk	0.6866064777505339	ras	0.7671771230395954	0.634348115296632	0.81058644548478
PI3K	Erk	0.0	wt	0.0	0.0	0.0
PI3K	Erk	0.0	ras	0.0	0.0	0.0
Akt	Erk	0.0	wt	0.0	0.0	0.0
Akt	Erk	0.0	ras	0.0	0.0	0.0
C3G	Erk	0.0	wt	0.0	0.0	0.0
C3G	Erk	0.0	ras	0.0	0.0	0.0
Rap1	Erk	0.0	wt	0.0	0.0	0.0
Rap1	Erk	0.0	ras	0.0	0.0	0.0
bRaf	Erk	0.0	wt	0.0	0.0	0.0
bRaf	Erk	0.0	ras	0.0	0.0	0.0
Sos	P90Rsk	-0.42681950282663184	wt	-0.8070518419426879	-0.50167823545256	-0.3805514586644688
Sos	P90Rsk	-0.42681950282663184	ras	-0.955423325456904	-0.50167823545256	-0.3805514586644688
Ras	P90Rsk	0.0	wt	0.0	0.0	0.0
Ras	P90Rsk	0.0	ras	0.0	0.0	0.0
Raf1	P90Rsk	0.0	wt	0.0	0.0	0.0
Raf1	P90Rsk	0.0	ras	0.0	0.0	0.0
Mek	P90Rsk	0.0	wt	0.0	0.0	0.0
Mek	P90Rsk	0.0	ras	0.0	0.0	0.0
Erk	P90Rsk	0.0	wt	0.0	0.0	0.0
Erk	P90Rsk	0.0	ras	0.0	0.0	0.0
P90Rsk	P90Rsk	-1.0	wt	-1.0	-1.0	-1.0
P90Rsk	P90Rsk	-1.0	ras	-1.0	-1.0	-1.0
PI3K	P90Rsk	0.0	wt	0.0	0.0	0.0
PI3K	P90Rsk	0.0	ras	0.0	0.0	0.0
Akt	P90Rsk	0.0	wt	0.0	0.0	0.0
Akt	P90Rsk	0.0	ras	0.0	0.0	0.0
C3G	P90Rsk	0.0	wt	0.0	0.0	0.0
C3G	P90Rsk	0.0	ras	0.0	0.0	0.0
Rap1	P90Rsk	0.0	wt	0.0	0.0	0.0
Rap1	P90Rsk	0.0	ras	0.0	0.0	0.0
bRaf	P90Rsk	0.0	wt	0.0	0.0	0.0
bRaf	P90Rsk	0.0	ras	0.0	0.0	0.0
