	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.5039003340003436	0.0	0.0	0.0	-0.349262606254973	0.0	0.0	0.0	0.0	0.0
Ras	0.9794776944484443	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.0	0.9351118394878012	-1.0	0.0	0.0	0.0	0.0	-0.404296197460535	0.0	0.0	0.0
Mek	0.0	0.0	0.28022112291407986	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8037919269461674
Erk	0.0	0.0	0.0	0.8830767127907807	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.652746952249646	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.36209425493997593	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9454579010928992	-1.0	0.0
bRaf	0.0	0.8964138812406118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2086383735757179	-1.0
