	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.5039003340003436	0.0	0.0	0.0	-0.349262606254973	0.0	0.0	0.0	0.0	0.0
Ras	0.9794776944484443	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.0	0.9351118394878012	-1.0	0.0	0.0	0.0	0.0	-0.404296197460535	0.0	0.0	0.0
Mek	0.0	0.0	0.06076760891577171	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8037919269461674
Erk	0.0	0.0	0.0	0.8830767127907807	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.8964227791210996	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.36209425493997593	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9454579010928992	-1.0	0.0
bRaf	0.0	0.14155563049681477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.861105818799111	-1.0
