	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.5868478702300282	0.0	0.0	0.0	-0.35909502573800645	0.0	0.0	0.0	0.0	0.0
Ras	0.8488778526624317	-1.0	0.1236664077126644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.45491569761058553	0.5054193384690706	-1.0	0.0	0.0	0.0	0.0	-0.32209308965247396	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08310822735456713
Erk	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.2116368983708332	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3737255278830949	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.30076451961980477	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.923906744511665	-1.0	0.0
bRaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4607907399732281	-1.0
