	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.0	0.0	0.0	0.0	-0.8842343641208275	0.0	0.0	0.0	0.0	0.0
Ras	0.9012794752063534	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.0	0.9462906312448887	-1.0	0.0	0.0	0.0	0.0	-0.3758158651917442	0.0	0.0	0.0
Mek	0.0	0.0	0.3301710436784443	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7151519346240458
Erk	0.0	0.0	0.0	0.85729863059274	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.6576284761738234	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.38180433546545356	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9577926062388752	-1.0	0.0
bRaf	0.0	0.8978318912999389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20909621948258908	-1.0
