	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.3887829348044554	0.0	0.0	0.0	-0.45751356522367365	0.0	0.0	0.0	0.0	0.0
Ras	0.9332045729130365	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.4145990015192586	0.582722849847159	-1.0	0.0	0.0	0.0	0.0	-0.3608287117845098	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8895320289228459
Erk	0.0	0.0	0.0	0.9546894386768937	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.9203465108623868	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.362482604515876	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9847796912552279	-1.0	0.0
bRaf	0.0	0.13269840653349907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7853289660793501	-1.0
