	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.5134440318054094	0.0	0.0	0.0	-0.3086273563621468	0.0	0.0	0.0	0.0	0.0
Ras	1.0190393775159623	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.3562136615238551	0.6225300983518588	-1.0	0.0	0.0	0.0	0.0	-0.4368379047769031	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.817449742147164
Erk	0.0	0.0	0.0	0.9076488458343517	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.8955513953229389	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3431265710009662	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9345670665521778	-1.0	0.0
bRaf	0.0	0.14055057002831642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8612827367484108	-1.0
