	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.4349885867869917	0.0	0.0	0.0	-0.4908887218481869	0.0	0.0	0.0	0.0	0.0
Ras	0.7585009569289944	-1.0	0.21868038286500235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.3472644368997055	0.6586918428251511	-1.0	0.0	0.0	0.0	0.0	-0.35313147323146893	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.870169480709256
Erk	0.0	0.0	0.0	0.9043002088801632	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.9375883195797414	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.36824467114548837	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9380695355895848	-1.0	0.0
bRaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7287477582979218	-1.0
