	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.477991781341932	0.0	0.0	0.0	-0.4753154990108285	0.0	0.0	0.0	0.0	0.0
Ras	0.5370497367281519	-1.0	0.31700239508895345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.3043212139124868	0.5715768897916672	-1.0	0.0	0.0	0.0	0.0	-0.28441788720878136	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Erk	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	-0.15332445765968009	0.0	0.0	0.0	0.1933410307622354	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3228476720228203	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.292081238646931	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7474121831760034	-1.0	0.0
bRaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5272923677403752	-1.0
