	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.47498325701322835	0.0	0.0	0.0	-0.3391875812988145	0.0	0.0	0.0	0.0	0.0
Ras	0.5750313484787554	-1.0	0.36881235862031203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.36435591135557205	0.45979340370263083	-1.0	0.0	0.0	0.0	0.0	-0.31465804688050775	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7045125742678454
Erk	0.0	0.0	0.0	0.7297771817548656	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.6626024120016333	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.31698014895142956	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.843333283561205	-1.0	0.0
bRaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6254463372059971	0.0	-1.0
