POPULATIONS	DIFFERENCE_RMSE	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
wt_braf	0.027969778770855713	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	0.018939634117378205	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	0.018102804908664314	0.0	250	0.00625	2	13	CNR	wt,braf	5	0.02	8.131596107392363e-05
wt_braf	0.018495093285440058	0.0	250	0.003125	3	13	CNR	wt,braf	5	0.02	0.00013094654462852097
wt_braf	0.01813273134619338	0.0	250	0.00625	4	13	CNR	wt,braf	5	0.02	0.00011519497036137709
wt_braf	0.01820888346695128	0.0	250	0.003125	5	13	CNR	wt,braf	5	0.02	7.828680771304234e-05
wt_braf	0.018273050764850293	0.0	250	0.003125	6	13	CNR	wt,braf	5	0.02	7.537139208983162e-05
wt_braf	0.018194290266180094	0.0	250	0.00625	7	13	CNR	wt,braf	5	0.02	7.891560410270413e-05
wt_braf	0.018186920895410786	0.0	250	0.003125	8	13	CNR	wt,braf	5	0.02	8.889755006842694e-05
wt_braf	0.018433527043947167	0.0	250	0.003125	9	13	CNR	wt,braf	5	0.02	0.00010016764698414297
wt_braf	0.018174577031316797	0.0	250	0.00625	10	13	CNR	wt,braf	5	0.02	0.00010151192346008414
wt_braf	0.01830009253056254	0.0	250	0.0037109375	11	13	CNR	wt,braf	5	0.02	9.902923616620952e-05
wt_braf	0.01835229376257808	0.0	250	0.003125	12	13	CNR	wt,braf	5	0.02	9.055201066874689e-05
wt_braf	0.01828055077223303	0.0	250	0.003125	13	13	CNR	wt,braf	5	0.02	0.00011315637949050933
wt_braf	0.018521281190593784	0.0	250	0.00625	14	13	CNR	wt,braf	5	0.02	7.356663083801406e-05
wt_braf	0.018387182328013254	0.0	250	0.00625	15	13	CNR	wt,braf	5	0.02	7.498772552644012e-05
wt_braf	0.01816049927747595	0.0	250	0.003125	16	13	CNR	wt,braf	5	0.02	9.444643396534746e-05
wt_braf	0.01876989239023325	0.0	250	0.003125	17	13	CNR	wt,braf	5	0.02	9.928218205183215e-05
wt_braf	0.018412640385489804	0.0	250	0.003125	18	13	CNR	wt,braf	5	0.02	9.477047885469716e-05
wt_braf	0.018508066645676818	0.0	250	0.003125	19	13	CNR	wt,braf	5	0.02	0.00010639516118501263
wt_ras	0.03296097619004811	0.0	250	0.0125	0	13	CNR	wt,ras	3	0.02	9.862961806978178e-05
wt_ras	0.03283018893646538	0.0	250	0.0125	1	13	CNR	wt,ras	3	0.02	8.98965327765348e-05
wt_ras	0.03250617481572455	0.0	250	0.025	2	13	CNR	wt,ras	3	0.02	0.00011858937408004477
wt_ras	0.032507095177848326	0.0	250	0.05	3	13	CNR	wt,ras	3	0.02	9.59976114593724e-05
wt_ras	0.03276956289653914	0.0	250	0.0125	4	13	CNR	wt,ras	3	0.02	0.00010758107681189762
wt_ras	0.0324292315994646	0.0	250	0.0125	5	13	CNR	wt,ras	3	0.02	0.00010112221299260345
wt_ras	0.032705745317717166	0.0	250	0.025	6	13	CNR	wt,ras	3	0.02	0.00010805436349174428
wt_ras	0.032938656453359146	0.0	250	0.025	7	13	CNR	wt,ras	3	0.02	9.173016198010647e-05
wt_ras	0.0324843279218339	0.0	250	0.025	8	13	CNR	wt,ras	3	0.02	8.226558438759299e-05
wt_ras	0.03241041861603525	0.0	250	0.025	9	13	CNR	wt,ras	3	0.02	0.00010124762907574426
wt_ras	0.03250527411507874	0.0	250	0.0125	10	13	CNR	wt,ras	3	0.02	9.490407114940315e-05
wt_ras	0.03252673214218072	0.0	250	0.0125	11	13	CNR	wt,ras	3	0.02	0.00010920753574933804
wt_ras	0.03245889109115455	0.0	250	0.025	12	13	CNR	wt,ras	3	0.02	0.0001143840378639394
wt_ras	0.032667234926615635	0.0	250	0.025	13	13	CNR	wt,ras	3	0.02	0.00011962675959965012
wt_ras	0.032392294997095804	0.0	250	0.0125	14	13	CNR	wt,ras	3	0.02	7.852569822065589e-05
wt_ras	0.032420285972985755	0.0	250	0.0125	15	13	CNR	wt,ras	3	0.02	0.00011058369964256576
wt_ras	0.03264531702981435	0.0	250	0.0125	16	13	CNR	wt,ras	3	0.02	0.00011017742270909096
wt_ras	0.03247822729726666	0.0	250	0.05	17	13	CNR	wt,ras	3	0.02	0.0001013278223727907
wt_ras	0.03246673963231917	0.0	250	0.0125	18	13	CNR	wt,ras	3	0.02	9.588676848594859e-05
wt_ras	0.03246078818598628	0.0	250	0.025	19	13	CNR	wt,ras	3	0.02	9.666297488154003e-05
wt_braf	0.027569576781126308	0.2	250	0.05	0	13	CNR	wt,braf	4	0.02	0.001141910656578497
wt_braf	0.029209762456598704	0.2	250	0.018750000000000003	1	13	CNR	wt,braf	4	0.02	0.0011166521543642728
wt_braf	0.030616369028944657	0.2	250	0.034375	2	13	CNR	wt,braf	5	0.02	0.001086670020946631
wt_braf	0.026293176812418047	0.2	250	0.020312500000000004	3	13	CNR	wt,braf	4	0.02	0.0010931851310695938
wt_braf	0.029362205184041677	0.2	250	0.019531250000000003	4	13	CNR	wt,braf	5	0.02	0.001106557061564762
wt_braf	0.027389792035893284	0.2	250	0.034375	5	13	CNR	wt,braf	4	0.02	0.001023352010054648
wt_braf	0.0291601679711623	0.2	250	0.025	6	13	CNR	wt,braf	5	0.02	0.0010766412013553605
wt_braf	0.025954935668978427	0.2	250	0.034375	7	13	CNR	wt,braf	4	0.02	0.0010664269026281418
wt_braf	0.02600357586243102	0.2	250	0.025	8	13	CNR	wt,braf	4	0.02	0.0010688590747152987
wt_braf	0.024572224632069158	0.2	250	0.026367187500000003	9	13	CNR	wt,braf	4	0.02	0.0010801980240163988
