SIMULATION: noise=0.0, cells=250, repeat=0, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=0, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=0, etas: 0.00.0 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=0, etas: 0.013 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=0, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=0, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=1, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=1, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=1, etas: 0.0010.001 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=1, etas: 0.013 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=1, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=1, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=2, etas: 0.006 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=2, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=2, etas: 0.00.0 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=2, etas: 0.025 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=2, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=2, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=3, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=3, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=3, etas: 0.0020.002 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=3, etas: 0.05 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=3, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=3, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=4, etas: 0.006 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=4, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=4, etas: 0.0020.002 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=4, etas: 0.013 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=4, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=4, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=5, etas: 0.003 diff Edges: 5 edges: 13
