sample_id	ab_id	treatment	ab_count_raw	ab_count_subsampled	ab_count_clr	uniquenr	treatment_uniquenr	sample_folder	well_name	plate_row	plate_column	ab_name	ab_barcode	normfactor	lib_size	ab_count_tmm
plate_1_171	ITGB1_98	vehicle	9560	3314	4.054551725054406	1	vehicle_1	plate_1	171	B	9	ITGB1	98	1.1679350240576052	27722	0.30378361621181044
plate_5_171	ITGB1_98	vehicle	38300	4569	4.602835438167983	2	vehicle_2	plate_5	171	B	9	ITGB1	98	0.916192047803696	81732	0.5146002110405129
plate_6_171	ITGB1_98	vehicle	28039	4165	4.407198447661413	3	vehicle_3	plate_6	171	B	9	ITGB1	98	0.9837182014033179	67184	0.41033072554627675
plate_1_169	ITGB1_98	vehicle	10742	3378	3.997422304871802	4	vehicle_4	plate_1	169	B	7	ITGB1	98	1.19386667315798	31422	0.294865677369258
plate_2_169	ITGB1_98	AG1478	8669	2555	4.068047391313941	1	AG1478_1	plate_2	169	B	7	ITGB1	98	0.8201063538193758	32438	0.34981191931562483
plate_4_169	ITGB1_98	AG1478	7739	3091	4.138450513858218	2	AG1478_2	plate_4	169	B	7	ITGB1	98	1.058032867273368	23934	0.3241708937612125
plate_6_169	ITGB1_98	vehicle	9636	3792	4.314112680605688	5	vehicle_5	plate_6	169	B	7	ITGB1	98	0.998625331261543	25218	0.3687107282962531
plate_4_172	ITGB1_98	AG1478	8728	2241	3.717088411344453	3	AG1478_3	plate_4	172	B	10	ITGB1	98	1.1263948459319442	38559	0.21951366587436685
plate_5_172	ITGB1_98	AG1478	5344	2079	3.8462389981387375	4	AG1478_4	plate_5	172	B	10	ITGB1	98	0.9204271894506102	24196	0.2430872591198632
plate_1_186	ITGB1_98	AG1478	22680	3047	4.000434035086658	5	AG1478_5	plate_1	186	C	12	ITGB1	98	1.1844349546157829	72054	0.2742670787033741
plate_3_186	ITGB1_98	AG1478	11187	2680	4.0433930969470655	6	AG1478_6	plate_3	186	C	12	ITGB1	98	0.9364351804488733	38987	0.2661949937650173
plate_5_186	ITGB1_98	AG1478	9811	2761	4.041914047413901	7	AG1478_7	plate_5	186	C	12	ITGB1	98	1.0643339958956912	32034	0.2908861090333925
plate_1_156	ITGB1_98	AG1478	7969	2894	3.953768818617404	8	AG1478_8	plate_1	156	A	6	ITGB1	98	1.0395958042583213	27757	0.28468061470398187
plate_3_156	ITGB1_98	AG1478	5888	2709	4.0785668207516395	9	AG1478_9	plate_3	156	A	6	ITGB1	98	1.0144870025297454	20079	0.2488298727695548
plate_4_156	ITGB1_98	vehicle	28219	3773	4.245598921690599	6	vehicle_6	plate_4	156	A	6	ITGB1	98	1.0789173923637059	73841	0.3727648482492783
plate_5_156	ITGB1_98	AG1478	12505	3222	4.1952570798604105	10	AG1478_10	plate_5	156	A	6	ITGB1	98	1.0208700899451766	36542	0.33834329195000645
plate_1_154	ITGB1_98	AG1478	10728	2011	3.6689715857152247	11	AG1478_11	plate_1	154	A	4	ITGB1	98	1.0476056452143425	50323	0.21201210662771391
plate_2_154	ITGB1_98	AG1478	3820	2276	3.822037318045476	12	AG1478_12	plate_2	154	A	4	ITGB1	98	1.1142445473271665	15323	0.24767927238443432
plate_4_154	ITGB1_98	AG1478	6923	3060	4.0498759329573355	13	AG1478_13	plate_4	154	A	4	ITGB1	98	1.1211637407762263	21495	0.3058272838161049
plate_5_154	ITGB1_98	vehicle	20034	3999	4.343922667997961	7	vehicle_7	plate_5	154	A	4	ITGB1	98	0.9955846247311162	49499	0.4096606868167785
plate_1_155	ITGB1_98	AG1478	9848	2293	3.833003691318794	14	AG1478_14	plate_1	155	A	5	ITGB1	98	0.9999192279704314	39839	0.25573172121303506
plate_2_155	ITGB1_98	vehicle	14318	3495	4.179159529742617	8	vehicle_8	plate_2	155	A	5	ITGB1	98	1.0782025467636651	39249	0.36228168661537585
plate_6_155	ITGB1_98	AG1478	8507	2327	3.855456745216271	15	AG1478_15	plate_6	155	A	5	ITGB1	98	1.0165276890722055	34234	0.23053208052942115
plate_1_174	ITGB1_98	vehicle	7358	3332	4.1415555458633655	9	vehicle_9	plate_1	174	B	12	ITGB1	98	1.0063449775501971	21545	0.34788128689558556
plate_3_174	ITGB1_98	AG1478	16362	2986	4.120711175464148	16	AG1478_16	plate_3	174	B	12	ITGB1	98	1.0148468996170568	49639	0.2845733236418761
plate_5_174	ITGB1_98	AG1478	6913	2777	3.9346390433554808	17	AG1478_17	plate_5	174	B	12	ITGB1	98	1.080211534734112	24155	0.26807218864814947
plate_1_183	ITGB1_98	AG1478	9418	3601	4.399874401669772	18	AG1478_18	plate_1	183	C	9	ITGB1	98	0.8850425894268982	25395	0.4275479338956597
plate_2_183	ITGB1_98	AG1478	6693	2987	4.273591980540088	19	AG1478_19	plate_2	183	C	9	ITGB1	98	0.9025223410597475	20231	0.390502009923286
plate_5_183	ITGB1_98	AG1478	3362	2726	3.981243931581091	20	AG1478_20	plate_5	183	C	9	ITGB1	98	1.1028913892178196	11794	0.2615965018995382
plate_6_183	ITGB1_98	AG1478	9074	3060	4.35447582831372	21	AG1478_21	plate_6	183	C	9	ITGB1	98	0.8476129490314375	27069	0.38156077162881263
plate_2_151	ITGB1_98	AG1478	6691	2743	4.110452985917334	22	AG1478_22	plate_2	151	A	1	ITGB1	98	0.9473553288416148	22225	0.3417288058356293
plate_5_151	ITGB1_98	AG1478	5206	2172	3.696186668557408	23	AG1478_23	plate_5	151	A	1	ITGB1	98	1.174495483413016	22724	0.19819016887777258
plate_6_151	ITGB1_98	AG1478	12836	2895	4.349863459617655	24	AG1478_24	plate_6	151	A	1	ITGB1	98	0.8912307531240605	37497	0.37017557824864616
plate_1_190	ITGB1_98	vehicle	49063	4738	4.644241807234013	10	vehicle_10	plate_1	190	D	4	ITGB1	98	0.8760574349538527	101476	0.5604139804044961
plate_2_190	ITGB1_98	AG1478	4468	2467	3.839270846145384	25	AG1478_25	plate_2	190	D	4	ITGB1	98	1.0374017018981692	17171	0.274766521016204
