	sample_id	treatment	ab_count_tmm	ab_name
0	plate_1_171	UNTREATED	0.310490734737684	ITGB1
1	plate_1_171	UNTREATED	0.0034306773141479	MAPK-p38-p2
2	plate_1_171	UNTREATED	0.0014343140197254	PLC-g2-p
3	plate_1_171	UNTREATED	0.0024426190034225	STAT5-p
4	plate_1_171	UNTREATED	0.0102972607241346	LRP6-p
5	plate_1_171	UNTREATED	0.004634582021145	H2A-p
6	plate_1_171	UNTREATED	0.005311856960176	Ephrin-B3
7	plate_1_171	UNTREATED	0.000908640672131062	PLC-g1-p
8	plate_1_171	UNTREATED	0.0016325492740166	mTOR-p
9	plate_1_171	UNTREATED	0.0024676534832803	NFKB-p65-p
10	plate_1_171	UNTREATED	0.0022668986659868	Fak-p
11	plate_1_171	UNTREATED	0.0014161732082778	Cdc2
12	plate_1_171	UNTREATED	0.0177817685357802	STAT1-p_p91
13	plate_1_171	UNTREATED	0.0026364526124142	EGFR-p_AF1095
14	plate_1_171	UNTREATED	0.0049403082327249	IKB-a-p
15	plate_1_171	UNTREATED	0.0014990304228759	Jak1-p
16	plate_1_171	UNTREATED	0.0014427726924709	RSK-p
17	plate_1_171	UNTREATED	0.0246710053238312	Rb-p
18	plate_1_171	UNTREATED	0.0032920943694726	Fak
19	plate_1_171	UNTREATED	0.0029996999636191	EGFR-p
20	plate_1_171	UNTREATED	0.0530583616806736	Frizzled-3
21	plate_1_171	UNTREATED	0.0030238543513694	CREB-p
22	plate_1_171	UNTREATED	0.002994052402498	ERK1-2
23	plate_1_171	UNTREATED	0.0133686741611467	MAPK-p38-p
24	plate_1_171	UNTREATED	0.0030395518143769	RSK-p90-p
25	plate_1_171	UNTREATED	0.0056791374907	Akt-p_4060
26	plate_1_171	UNTREATED	0.013574294890362	BMP2_4
27	plate_1_171	UNTREATED	0.0180387860222609	cMyc
28	plate_1_171	UNTREATED	0.0012532712310803	smad1-5-9-p
29	plate_1_171	UNTREATED	0.0045271292740167	JNK
30	plate_1_171	UNTREATED	0.0054098758316699	BMPRII
31	plate_1_171	UNTREATED	0.0054821133599151	IKB-a
32	plate_1_171	UNTREATED	0.0040588949610884	Akt123-p
33	plate_1_171	UNTREATED	0.0041118237711982	RelA-p
34	plate_1_171	UNTREATED	0.0024883017344706	STAT1-p
35	plate_1_171	UNTREATED	0.0085764857474313	Ribosomal-S6-p
36	plate_1_171	UNTREATED	0.0023887910093497	smad1-5-p
37	plate_1_171	UNTREATED	0.0080978270280237	H3-p
38	plate_1_171	UNTREATED	0.0049089158348711	MKK3-6-p
39	plate_1_171	UNTREATED	0.0190116463799384	Src
40	plate_1_171	UNTREATED	0.0037068071302658	cFos-p
41	plate_1_171	UNTREATED	0.0036768139602821	STAT3-p
42	plate_1_171	UNTREATED	0.0060137288045844	Cyclin-E
43	plate_1_171	UNTREATED	0.0034728825846988	CDK4
44	plate_1_171	UNTREATED	0.0087559187658855	Cyclin-B1
45	plate_1_171	UNTREATED	0.0025806215205859	IGFBP-3
46	plate_1_171	UNTREATED	0.0014384220425301	RelA
47	plate_1_171	UNTREATED	0.0032239227730837	smad1
48	plate_1_171	UNTREATED	0.0039189700068139	GDK3b-p
49	plate_1_171	UNTREATED	0.0034605771057302	ERK1-2-p
50	plate_1_171	UNTREATED	0.0076665012499888	MAPK-APK2-p
51	plate_1_171	UNTREATED	0.0035971984096932	Akt2
52	plate_1_171	UNTREATED	0.0021185317104135	Src-p
53	plate_1_171	UNTREATED	0.0160373528624084	JNK-p
54	plate_1_171	UNTREATED	0.0032295466862642	cJun-p
55	plate_1_171	UNTREATED	0.0481887500366679	Jak1
56	plate_5_171	UNTREATED	0.5080146975331598	ITGB1
57	plate_5_171	UNTREATED	0.0034114003239689	MAPK-p38-p2
58	plate_5_171	UNTREATED	0.0016761349710481	PLC-g2-p
59	plate_5_171	UNTREATED	0.0016287955010022	STAT5-p
60	plate_5_171	UNTREATED	0.010425934536299	LRP6-p
61	plate_5_171	UNTREATED	0.0044028034752117	H2A-p
62	plate_5_171	UNTREATED	0.0049242632891908	Ephrin-B3
63	plate_5_171	UNTREATED	0.0010063325235736	PLC-g1-p
64	plate_5_171	UNTREATED	0.0023960770434024	mTOR-p
65	plate_5_171	UNTREATED	0.0029624714599886	NFKB-p65-p
66	plate_5_171	UNTREATED	0.0023416584474682	Fak-p
67	plate_5_171	UNTREATED	0.002009346145715	Cdc2
68	plate_5_171	UNTREATED	0.027511869780035	STAT1-p_p91
69	plate_5_171	UNTREATED	0.0030225938889662	EGFR-p_AF1095
70	plate_5_171	UNTREATED	0.0048677027201683	IKB-a-p
71	plate_5_171	UNTREATED	0.0013373362247026	Jak1-p
72	plate_5_171	UNTREATED	0.0023631189762953	RSK-p
73	plate_5_171	UNTREATED	0.0024426011895872	Rb-p
74	plate_5_171	UNTREATED	0.0032709597241068	Fak
75	plate_5_171	UNTREATED	0.0022864209147494	EGFR-p
76	plate_5_171	UNTREATED	0.0593637625701334	Frizzled-3
77	plate_5_171	UNTREATED	0.0024959485813649	CREB-p
78	plate_5_171	UNTREATED	0.0043653175460321	ERK1-2
79	plate_5_171	UNTREATED	0.0180266500192813	MAPK-p38-p
80	plate_5_171	UNTREATED	0.0035338546716897	RSK-p90-p
81	plate_5_171	UNTREATED	0.0035317570845694	Akt-p_4060
82	plate_5_171	UNTREATED	0.01341066589637	BMP2_4
83	plate_5_171	UNTREATED	0.0141024688944352	cMyc
84	plate_5_171	UNTREATED	0.0012435746633787	smad1-5-9-p
85	plate_5_171	UNTREATED	0.00358340033672	JNK
86	plate_5_171	UNTREATED	0.0054748346045977	BMPRII
87	plate_5_171	UNTREATED	0.0078999673371795	IKB-a
88	plate_5_171	UNTREATED	0.0032679188548112	Akt123-p
89	plate_5_171	UNTREATED	0.002429481148641	RelA-p
90	plate_5_171	UNTREATED	0.0019729173620728	STAT1-p
91	plate_5_171	UNTREATED	0.0057588991347477	Ribosomal-S6-p
92	plate_5_171	UNTREATED	0.0019750070515131	smad1-5-p
93	plate_5_171	UNTREATED	0.0072718787715021	H3-p
94	plate_5_171	UNTREATED	0.0061027046736434	MKK3-6-p
95	plate_5_171	UNTREATED	0.0223489152591534	Src
96	plate_5_171	UNTREATED	0.0040490141906321	cFos-p
97	plate_5_171	UNTREATED	0.003114452743084	STAT3-p
98	plate_5_171	UNTREATED	0.006262664491832	Cyclin-E
99	plate_5_171	UNTREATED	0.0045804931978698	CDK4
100	plate_5_171	UNTREATED	0.0107734781324818	Cyclin-B1
101	plate_5_171	UNTREATED	0.0026828794622564	IGFBP-3
102	plate_5_171	UNTREATED	0.0017044937911484	RelA
103	plate_5_171	UNTREATED	0.003168080746498	smad1
104	plate_5_171	UNTREATED	0.0039294716526374	GDK3b-p
105	plate_5_171	UNTREATED	0.0030202494369763	ERK1-2-p
106	plate_5_171	UNTREATED	0.0064855750810261	MAPK-APK2-p
107	plate_5_171	UNTREATED	0.0032122487848191	Akt2
108	plate_5_171	UNTREATED	0.0024747239068017	Src-p
109	plate_5_171	UNTREATED	0.0203979161823513	JNK-p
110	plate_5_171	UNTREATED	0.0028420711146351	cJun-p
111	plate_5_171	UNTREATED	0.0353572014989308	Jak1
112	plate_6_171	UNTREATED	0.4165394588659675	ITGB1
113	plate_6_171	UNTREATED	0.0032472585817712	MAPK-p38-p2
114	plate_6_171	UNTREATED	0.0014288593362028	PLC-g2-p
115	plate_6_171	UNTREATED	0.0013988851201462	STAT5-p
116	plate_6_171	UNTREATED	0.0120279315590717	LRP6-p
117	plate_6_171	UNTREATED	0.0050255506877499	H2A-p
118	plate_6_171	UNTREATED	0.0055130346018106	Ephrin-B3
119	plate_6_171	UNTREATED	0.0015091564352984	PLC-g1-p
120	plate_6_171	UNTREATED	0.0022246808255751	mTOR-p
121	plate_6_171	UNTREATED	0.0024006910047438	NFKB-p65-p
122	plate_6_171	UNTREATED	0.0029210384886143	Fak-p
123	plate_6_171	UNTREATED	0.0017697232916336	Cdc2
124	plate_6_171	UNTREATED	0.0252605860789327	STAT1-p_p91
125	plate_6_171	UNTREATED	0.0028326376729828	EGFR-p_AF1095
126	plate_6_171	UNTREATED	0.0050958001984681	IKB-a-p
127	plate_6_171	UNTREATED	0.0020713496482015	Jak1-p
128	plate_6_171	UNTREATED	0.0023024224944588	RSK-p
129	plate_6_171	UNTREATED	0.0303964807489364	Rb-p
130	plate_6_171	UNTREATED	0.0026619653106784	Fak
131	plate_6_171	UNTREATED	0.0021540441378617	EGFR-p
132	plate_6_171	UNTREATED	0.0420290791766402	Frizzled-3
133	plate_6_171	UNTREATED	0.0032156733384292	CREB-p
134	plate_6_171	UNTREATED	0.003534332708138	ERK1-2
135	plate_6_171	UNTREATED	0.0131361723898939	MAPK-p38-p
136	plate_6_171	UNTREATED	0.0032583010377857	RSK-p90-p
137	plate_6_171	UNTREATED	0.0040464090546112	Akt-p_4060
138	plate_6_171	UNTREATED	0.011369921277897	BMP2_4
139	plate_6_171	UNTREATED	0.0102451278651644	cMyc
140	plate_6_171	UNTREATED	0.0013888306018932	smad1-5-9-p
141	plate_6_171	UNTREATED	0.0038432926438193	JNK
142	plate_6_171	UNTREATED	0.0044937889383716	BMPRII
143	plate_6_171	UNTREATED	0.0064513623529896	IKB-a
144	plate_6_171	UNTREATED	0.0038369778099743	Akt123-p
145	plate_6_171	UNTREATED	0.0033403855914373	RelA-p
146	plate_6_171	UNTREATED	0.002467398494241	STAT1-p
147	plate_6_171	UNTREATED	0.0052724945397164	Ribosomal-S6-p
148	plate_6_171	UNTREATED	0.0021132315854509	smad1-5-p
149	plate_6_171	UNTREATED	0.0083648594178473	H3-p
150	plate_6_171	UNTREATED	0.0057504258319634	MKK3-6-p
151	plate_6_171	UNTREATED	0.0195521296716187	Src
152	plate_6_171	UNTREATED	0.0056809516200201	cFos-p
153	plate_6_171	UNTREATED	0.0042351567367421	STAT3-p
154	plate_6_171	UNTREATED	0.0054647109655251	Cyclin-E
155	plate_6_171	UNTREATED	0.0038621986280844	CDK4
156	plate_6_171	UNTREATED	0.0111468092524896	Cyclin-B1
157	plate_6_171	UNTREATED	0.002615098404604	IGFBP-3
158	plate_6_171	UNTREATED	0.0014266344889595	RelA
159	plate_6_171	UNTREATED	0.0027160334127764	smad1
160	plate_6_171	UNTREATED	0.0033883216126444	GDK3b-p
161	plate_6_171	UNTREATED	0.0030833568098644	ERK1-2-p
162	plate_6_171	UNTREATED	0.0074836606523167	MAPK-APK2-p
163	plate_6_171	UNTREATED	0.0037208598607615	Akt2
164	plate_6_171	UNTREATED	0.0024981065263689	Src-p
165	plate_6_171	UNTREATED	0.0174225290534614	JNK-p
166	plate_6_171	UNTREATED	0.003106867165944	cJun-p
167	plate_6_171	UNTREATED	0.0437826348474514	Jak1
168	plate_1_169	UNTREATED	0.3039423549243975	ITGB1
169	plate_1_169	UNTREATED	0.003351191323176	MAPK-p38-p2
170	plate_1_169	UNTREATED	0.001704075047917	PLC-g2-p
171	plate_1_169	UNTREATED	0.0018280517440333	STAT5-p
172	plate_1_169	UNTREATED	0.0109993253923724	LRP6-p
173	plate_1_169	UNTREATED	0.0038446458066037	H2A-p
174	plate_1_169	UNTREATED	0.0040103327114024	Ephrin-B3
175	plate_1_169	UNTREATED	0.0014816092934724	PLC-g1-p
176	plate_1_169	UNTREATED	0.0025568765387476	mTOR-p
177	plate_1_169	UNTREATED	0.0031053876675837	NFKB-p65-p
178	plate_1_169	UNTREATED	0.0028328797961084	Fak-p
179	plate_1_169	UNTREATED	0.001787003434186	Cdc2
180	plate_1_169	UNTREATED	0.0147676573529327	STAT1-p_p91
181	plate_1_169	UNTREATED	0.0029382780841801	EGFR-p_AF1095
182	plate_1_169	UNTREATED	0.0060458114192297	IKB-a-p
183	plate_1_169	UNTREATED	0.0015798825925035	Jak1-p
184	plate_1_169	UNTREATED	0.0027150736247386	RSK-p
185	plate_1_169	UNTREATED	0.0071386285141941	Rb-p
186	plate_1_169	UNTREATED	0.0025012111125752	Fak
187	plate_1_169	UNTREATED	0.0021008687875423	EGFR-p
188	plate_1_169	UNTREATED	0.06396164253724	Frizzled-3
189	plate_1_169	UNTREATED	0.0032464113716772	CREB-p
190	plate_1_169	UNTREATED	0.0037913793018306	ERK1-2
191	plate_1_169	UNTREATED	0.0179773913144752	MAPK-p38-p
192	plate_1_169	UNTREATED	0.0038828093699664	RSK-p90-p
193	plate_1_169	UNTREATED	0.0040646698575174	Akt-p_4060
194	plate_1_169	UNTREATED	0.0130456413216519	BMP2_4
195	plate_1_169	UNTREATED	0.0155144621273872	cMyc
196	plate_1_169	UNTREATED	0.0012813140229882	smad1-5-9-p
197	plate_1_169	UNTREATED	0.0046186642772597	JNK
198	plate_1_169	UNTREATED	0.0053807612849209	BMPRII
199	plate_1_169	UNTREATED	0.0074689789944474	IKB-a
200	plate_1_169	UNTREATED	0.0044226289260199	Akt123-p
201	plate_1_169	UNTREATED	0.0031330874678498	RelA-p
202	plate_1_169	UNTREATED	0.0023055261517991	STAT1-p
203	plate_1_169	UNTREATED	0.0075962585529422	Ribosomal-S6-p
204	plate_1_169	UNTREATED	0.002025149871447	smad1-5-p
205	plate_1_169	UNTREATED	0.0083826029080399	H3-p
206	plate_1_169	UNTREATED	0.0060506138863736	MKK3-6-p
207	plate_1_169	UNTREATED	0.0183729173250947	Src
208	plate_1_169	UNTREATED	0.0046235102279636	cFos-p
209	plate_1_169	UNTREATED	0.0050413953413632	STAT3-p
210	plate_1_169	UNTREATED	0.005458632104864	Cyclin-E
211	plate_1_169	UNTREATED	0.0042879885786235	CDK4
212	plate_1_169	UNTREATED	0.0108045841238265	Cyclin-B1
213	plate_1_169	UNTREATED	0.0032993166442739	IGFBP-3
214	plate_1_169	UNTREATED	0.0022169140351576	RelA
215	plate_1_169	UNTREATED	0.0033764192271363	smad1
216	plate_1_169	UNTREATED	0.0041529553063076	GDK3b-p
217	plate_1_169	UNTREATED	0.0032610782405797	ERK1-2-p
218	plate_1_169	UNTREATED	0.0066674391487945	MAPK-APK2-p
219	plate_1_169	UNTREATED	0.0042291096846467	Akt2
220	plate_1_169	UNTREATED	0.0025897944582248	Src-p
221	plate_1_169	UNTREATED	0.0188584697641132	JNK-p
222	plate_1_169	UNTREATED	0.0039568130193415	cJun-p
223	plate_1_169	UNTREATED	0.0519868310401542	Jak1
224	plate_2_169	TREATED	0.3217243071104048	ITGB1
225	plate_2_169	TREATED	0.0034736850524321	MAPK-p38-p2
226	plate_2_169	TREATED	0.0017749877573749	PLC-g2-p
227	plate_2_169	TREATED	0.0021108434868779	STAT5-p
228	plate_2_169	TREATED	0.0194950056520555	LRP6-p
229	plate_2_169	TREATED	0.0062678422793431	H2A-p
230	plate_2_169	TREATED	0.0040996000679245	Ephrin-B3
231	plate_2_169	TREATED	0.0007778877730258357	PLC-g1-p
232	plate_2_169	TREATED	0.001961516115409	mTOR-p
233	plate_2_169	TREATED	0.0021291047423674	NFKB-p65-p
234	plate_2_169	TREATED	0.0031067906656798	Fak-p
235	plate_2_169	TREATED	0.0018638151999706	Cdc2
236	plate_2_169	TREATED	0.0119412822773303	STAT1-p_p91
237	plate_2_169	TREATED	0.0025813262109589	EGFR-p_AF1095
238	plate_2_169	TREATED	0.0031919630232973	IKB-a-p
239	plate_2_169	TREATED	0.0018861379295382	Jak1-p
240	plate_2_169	TREATED	0.0021339064627759	RSK-p
241	plate_2_169	TREATED	0.011808061456255	Rb-p
242	plate_2_169	TREATED	0.0067940494968805	Fak
243	plate_2_169	TREATED	0.0023882386678955	EGFR-p
244	plate_2_169	TREATED	0.1156220383542854	Frizzled-3
245	plate_2_169	TREATED	0.0019730525394882	CREB-p
246	plate_2_169	TREATED	0.0038050954801292	ERK1-2
247	plate_2_169	TREATED	0.0268674930539043	MAPK-p38-p
248	plate_2_169	TREATED	0.0016743513076639	RSK-p90-p
249	plate_2_169	TREATED	0.0025752287832768	Akt-p_4060
250	plate_2_169	TREATED	0.0089751469239946	BMP2_4
251	plate_2_169	TREATED	0.0120466980957898	cMyc
252	plate_2_169	TREATED	0.0014722699701354	smad1-5-9-p
253	plate_2_169	TREATED	0.0050421010670646	JNK
254	plate_2_169	TREATED	0.0054326971538882	BMPRII
255	plate_2_169	TREATED	0.0063466908232739	IKB-a
256	plate_2_169	TREATED	0.003849669552327	Akt123-p
257	plate_2_169	TREATED	0.0026064116781673	RelA-p
258	plate_2_169	TREATED	0.0026677128887203	STAT1-p
259	plate_2_169	TREATED	0.0032048555773029	Ribosomal-S6-p
260	plate_2_169	TREATED	0.001640313320621	smad1-5-p
261	plate_2_169	TREATED	0.0064633038349925	H3-p
262	plate_2_169	TREATED	0.0028937890399316	MKK3-6-p
263	plate_2_169	TREATED	0.0192936098604352	Src
264	plate_2_169	TREATED	0.0027207359809185	cFos-p
265	plate_2_169	TREATED	0.00217051164838	STAT3-p
266	plate_2_169	TREATED	0.0091945508141182	Cyclin-E
267	plate_2_169	TREATED	0.0157814057314655	CDK4
268	plate_2_169	TREATED	0.0150304035277687	Cyclin-B1
269	plate_2_169	TREATED	0.0031482859755819	IGFBP-3
270	plate_2_169	TREATED	0.0012670363910067	RelA
271	plate_2_169	TREATED	0.0030229926757312	smad1
272	plate_2_169	TREATED	0.0029184604015821	GDK3b-p
273	plate_2_169	TREATED	0.0037094821981059	ERK1-2-p
274	plate_2_169	TREATED	0.0037399364288162	MAPK-APK2-p
275	plate_2_169	TREATED	0.0025789392346018	Akt2
276	plate_2_169	TREATED	0.002335173745013	Src-p
277	plate_2_169	TREATED	0.1151817406656241	JNK-p
278	plate_2_169	TREATED	0.0032056863706342	cJun-p
279	plate_2_169	TREATED	0.0171249939834386	Jak1
280	plate_6_169	UNTREATED	0.3789100781270668	ITGB1
281	plate_6_169	UNTREATED	0.0024244259440052	MAPK-p38-p2
282	plate_6_169	UNTREATED	0.0012649285176642	PLC-g2-p
283	plate_6_169	UNTREATED	0.001738915558966	STAT5-p
284	plate_6_169	UNTREATED	0.0108196052942379	LRP6-p
285	plate_6_169	UNTREATED	0.0046109667027302	H2A-p
286	plate_6_169	UNTREATED	0.0057552395428055	Ephrin-B3
287	plate_6_169	UNTREATED	0.0013399375258391	PLC-g1-p
288	plate_6_169	UNTREATED	0.0025610107723283	mTOR-p
289	plate_6_169	UNTREATED	0.0026603427963069	NFKB-p65-p
290	plate_6_169	UNTREATED	0.0025783698622229	Fak-p
291	plate_6_169	UNTREATED	0.0020462966394062	Cdc2
292	plate_6_169	UNTREATED	0.0207958296589016	STAT1-p_p91
293	plate_6_169	UNTREATED	0.0029373472289947	EGFR-p_AF1095
294	plate_6_169	UNTREATED	0.0045231004538717	IKB-a-p
295	plate_6_169	UNTREATED	0.0015790252034968	Jak1-p
296	plate_6_169	UNTREATED	0.0024145347082865	RSK-p
297	plate_6_169	UNTREATED	0.0033856817365675	Rb-p
298	plate_6_169	UNTREATED	0.00287455292568	Fak
299	plate_6_169	UNTREATED	0.0018594969714794	EGFR-p
300	plate_6_169	UNTREATED	0.0587534606334372	Frizzled-3
301	plate_6_169	UNTREATED	0.0025298040965575	CREB-p
302	plate_6_169	UNTREATED	0.0023027261232669	ERK1-2
303	plate_6_169	UNTREATED	0.0168072300458552	MAPK-p38-p
304	plate_6_169	UNTREATED	0.0029082297535783	RSK-p90-p
305	plate_6_169	UNTREATED	0.0057692961901992	Akt-p_4060
306	plate_6_169	UNTREATED	0.0187262915058554	BMP2_4
307	plate_6_169	UNTREATED	0.0128321084718952	cMyc
308	plate_6_169	UNTREATED	0.0016680471582849	smad1-5-9-p
309	plate_6_169	UNTREATED	0.00393848497512	JNK
310	plate_6_169	UNTREATED	0.0048713696764068	BMPRII
311	plate_6_169	UNTREATED	0.0054566692708277	IKB-a
312	plate_6_169	UNTREATED	0.0037343928629525	Akt123-p
313	plate_6_169	UNTREATED	0.003514899286547	RelA-p
314	plate_6_169	UNTREATED	0.0030062651685133	STAT1-p
315	plate_6_169	UNTREATED	0.006261385952376	Ribosomal-S6-p
316	plate_6_169	UNTREATED	0.0028472306557442	smad1-5-p
317	plate_6_169	UNTREATED	0.0098238739964939	H3-p
318	plate_6_169	UNTREATED	0.0060883467249354	MKK3-6-p
319	plate_6_169	UNTREATED	0.0185363026362817	Src
320	plate_6_169	UNTREATED	0.004709525468436	cFos-p
321	plate_6_169	UNTREATED	0.0032859385586055	STAT3-p
322	plate_6_169	UNTREATED	0.0049983033547471	Cyclin-E
323	plate_6_169	UNTREATED	0.0038405226437256	CDK4
324	plate_6_169	UNTREATED	0.0108591494916592	Cyclin-B1
325	plate_6_169	UNTREATED	0.0031381008061145	IGFBP-3
326	plate_6_169	UNTREATED	0.0017661362860555	RelA
327	plate_6_169	UNTREATED	0.0025669112572344	smad1
328	plate_6_169	UNTREATED	0.0041931837791656	GDK3b-p
329	plate_6_169	UNTREATED	0.0024128231990307	ERK1-2-p
330	plate_6_169	UNTREATED	0.0063974840993332	MAPK-APK2-p
331	plate_6_169	UNTREATED	0.0027377968965236	Akt2
332	plate_6_169	UNTREATED	0.0029756306764893	Src-p
333	plate_6_169	UNTREATED	0.015856730520287	JNK-p
334	plate_6_169	UNTREATED	0.0035420865886996	cJun-p
335	plate_6_169	UNTREATED	0.0529444272672113	Jak1
336	plate_4_172	TREATED	0.2346926421007648	ITGB1
337	plate_4_172	TREATED	0.0029791436384293	MAPK-p38-p2
338	plate_4_172	TREATED	0.0016742558480178	PLC-g2-p
339	plate_4_172	TREATED	0.0012344829042628	STAT5-p
340	plate_4_172	TREATED	0.0095321380696094	LRP6-p
