	GROUP	EDGE	VALUE
0	TREATED	RB_CDC2	0.20971680303747875
0	TREATED	MAPKAP2_P38	-0.2195005981770356
0	TREATED	FAK_SRC	0.029066588183419728
0	TREATED	RB_CDK4	-0.6143320398890096
0	TREATED	SMAD15_BMPR	0.47651409079785845
0	TREATED	AKT123_MAPKAP2	0.18312225717253927
0	TREATED	CJUN_JNK	0.11597049959023183
0	TREATED	AKT123_EGFR	0.11284221215385115
0	TREATED	AKT1_EGFR	0.18721403107818813
0	TREATED	SMAD159_BMPR	-0.08430917521973708
0	TREATED	IKBA_AKT1	0.13025063606227733
0	TREATED	CREB_P38	-0.2861484110916741
0	TREATED	RB_CDC2	-0.3472780099243369
0	TREATED	MAPKAP2_P38	0.44646229297313916
0	TREATED	FAK_SRC	-0.04013845153081466
0	TREATED	RB_CDK4	-0.18893205699876287
0	TREATED	SMAD15_BMPR	0.11164011957534047
0	TREATED	AKT123_MAPKAP2	0.2648107680008936
0	TREATED	CJUN_JNK	0.06170419525515587
0	TREATED	AKT123_EGFR	0.017211420103953518
0	TREATED	AKT1_EGFR	-0.1639423966560095
0	TREATED	SMAD159_BMPR	0.05398415642269974
0	TREATED	IKBA_AKT1	0.10581616401885115
0	TREATED	CREB_P38	-0.27773185499707165
0	TREATED	RB_CDC2	-1.7613376811781893
0	TREATED	MAPKAP2_P38	0.02386696616834111
0	TREATED	FAK_SRC	0.0964640365131489
0	TREATED	RB_CDK4	0.4028378974313127
0	TREATED	SMAD15_BMPR	-0.02303960970117186
0	TREATED	AKT123_MAPKAP2	-0.13526831073962958
0	TREATED	CJUN_JNK	0.0753442483175217
0	TREATED	AKT123_EGFR	0.07298739704854483
0	TREATED	AKT1_EGFR	-0.11642941346970144
0	TREATED	SMAD159_BMPR	-0.057758626807027175
0	TREATED	IKBA_AKT1	0.16340419789025196
0	TREATED	CREB_P38	0.2709264863473381
0	TREATED	RB_CDC2	-0.7617255991888201
0	TREATED	MAPKAP2_P38	0.11889942719272807
0	TREATED	FAK_SRC	-0.15054997092107886
0	TREATED	RB_CDK4	-1.1118439612402558
0	TREATED	SMAD15_BMPR	0.06183362563246905
0	TREATED	AKT123_MAPKAP2	-0.222867820237586
0	TREATED	CJUN_JNK	-0.08146609328411619
0	TREATED	AKT123_EGFR	0.0998020738064917
0	TREATED	AKT1_EGFR	-0.06639771261263959
0	TREATED	SMAD159_BMPR	-0.09255295892460247
0	TREATED	IKBA_AKT1	-0.0023578958394121427
0	TREATED	CREB_P38	-0.1898383183503521
0	TREATED	RB_CDC2	-0.9736480068599482
0	TREATED	MAPKAP2_P38	0.01261333609943674
0	TREATED	FAK_SRC	-0.044939965769466315
0	TREATED	RB_CDK4	0.23797712350799494
0	TREATED	SMAD15_BMPR	-0.18204244256356594
0	TREATED	AKT123_MAPKAP2	0.052993940869711015
0	TREATED	CJUN_JNK	-0.011552616964953518
0	TREATED	AKT123_EGFR	0.0231417204120637
0	TREATED	AKT1_EGFR	-0.07470558749879314
0	TREATED	SMAD159_BMPR	-0.18983458417090637
0	TREATED	IKBA_AKT1	-0.1850580903905256
0	TREATED	CREB_P38	-0.19060388461300215
0	TREATED	RB_CDC2	-0.018679155075494336
0	TREATED	MAPKAP2_P38	0.430081899452022
0	TREATED	FAK_SRC	-0.09259930657967785
0	TREATED	RB_CDK4	0.24842001320739973
0	TREATED	SMAD15_BMPR	-0.001999999999999974
0	TREATED	AKT123_MAPKAP2	-0.0615284358521509
0	TREATED	CJUN_JNK	-0.005485188942865272
0	TREATED	AKT123_EGFR	-0.02308002125971473
0	TREATED	AKT1_EGFR	0.002431202194787485
0	TREATED	SMAD159_BMPR	-0.039463846064016816
0	TREATED	IKBA_AKT1	-0.12387444284430363
0	TREATED	CREB_P38	0.5981294564234335
0	TREATED	RB_CDC2	-2.5307273657993106
0	TREATED	MAPKAP2_P38	-0.10072651008876395
0	TREATED	FAK_SRC	0.056168883248222
0	TREATED	RB_CDK4	-0.3385657421270848
0	TREATED	SMAD15_BMPR	-0.04366947578460861
0	TREATED	AKT123_MAPKAP2	-0.03194811129818599
0	TREATED	CJUN_JNK	0.008216746924125688
0	TREATED	AKT123_EGFR	0.09019168054192767
0	TREATED	AKT1_EGFR	0.07750289061875056
0	TREATED	SMAD159_BMPR	-0.12333256902052842
0	TREATED	IKBA_AKT1	-0.14509167345015084
0	TREATED	CREB_P38	0.045222413730586566
0	TREATED	RB_CDC2	-0.8296630879113822
0	TREATED	MAPKAP2_P38	0.5619463374029718
0	TREATED	FAK_SRC	0.11405362030646557
0	TREATED	RB_CDK4	0.1847322079883098
0	TREATED	SMAD15_BMPR	0.19377335119441033
0	TREATED	AKT123_MAPKAP2	-0.07370696831479066
0	TREATED	CJUN_JNK	-0.030593571772191644
0	TREATED	AKT123_EGFR	0.037565445548129635
0	TREATED	AKT1_EGFR	-0.11686074625428577
0	TREATED	SMAD159_BMPR	0.22692457586945947
0	TREATED	IKBA_AKT1	-0.13780046114473957
0	TREATED	CREB_P38	0.2597619460778944
0	TREATED	RB_CDC2	-1.8176476373182275
0	TREATED	MAPKAP2_P38	-0.5212037841336863
0	TREATED	FAK_SRC	0.19694145037822555
0	TREATED	RB_CDK4	1.1311355319147487
0	TREATED	SMAD15_BMPR	0.304646137860154
0	TREATED	AKT123_MAPKAP2	-0.004186194731208376
0	TREATED	CJUN_JNK	0.027941466217798156
0	TREATED	AKT123_EGFR	-0.02362726494617682
0	TREATED	AKT1_EGFR	0.028107287206799975
0	TREATED	SMAD159_BMPR	-0.014796758583498493
0	TREATED	IKBA_AKT1	0.27535364869292367
0	TREATED	CREB_P38	-0.12450122835844979
0	TREATED	RB_CDC2	-0.2409616419514966
0	TREATED	MAPKAP2_P38	0.12847183882723184
0	TREATED	FAK_SRC	-0.09967291584389111
0	TREATED	RB_CDK4	0.462752240366447
0	TREATED	SMAD15_BMPR	0.05785045565854696
0	TREATED	AKT123_MAPKAP2	0.18889712146513643
0	TREATED	CJUN_JNK	0.04125825257992355
0	TREATED	AKT123_EGFR	-0.06941980107734505
0	TREATED	AKT1_EGFR	-0.1911525746785953
0	TREATED	SMAD159_BMPR	-0.4487080114427746
0	TREATED	IKBA_AKT1	-0.0192287790081708
0	TREATED	CREB_P38	0.041137970733634906
0	TREATED	RB_CDC2	1.3381793242882394
0	TREATED	MAPKAP2_P38	0.031867730446624554
0	TREATED	FAK_SRC	0.19926259934274076
0	TREATED	RB_CDK4	-0.7052546669057208
0	TREATED	SMAD15_BMPR	-0.028519220080538255
0	TREATED	AKT123_MAPKAP2	0.0020000000000000018
0	TREATED	CJUN_JNK	0.001999999999999666
0	TREATED	AKT123_EGFR	-0.0020000000000000018
0	TREATED	AKT1_EGFR	-0.02444131277365119
0	TREATED	SMAD159_BMPR	0.0020000000000000018
0	TREATED	IKBA_AKT1	0.40592569533215067
0	TREATED	CREB_P38	0.14898724121284612
0	TREATED	RB_CDC2	-1.0884096230249116
0	TREATED	MAPKAP2_P38	0.4313236979189637
0	TREATED	FAK_SRC	-0.03958946511031672
0	TREATED	RB_CDK4	-0.46743008946712017
0	TREATED	SMAD15_BMPR	0.12516352634818648
0	TREATED	AKT123_MAPKAP2	-0.09688152206069887
0	TREATED	CJUN_JNK	0.0020000000000001137
0	TREATED	AKT123_EGFR	-0.06828947858359463
0	TREATED	AKT1_EGFR	-0.14338239604290653
0	TREATED	SMAD159_BMPR	-0.2678610888885593
0	TREATED	IKBA_AKT1	-0.01158018640924137
0	TREATED	CREB_P38	0.08376394974487625
0	TREATED	RB_CDC2	2.520229746854731
0	TREATED	MAPKAP2_P38	-0.08129508886057649
0	TREATED	FAK_SRC	0.13091172472497364
0	TREATED	RB_CDK4	0.6124723400505668
0	TREATED	SMAD15_BMPR	0.21252314695164595
0	TREATED	AKT123_MAPKAP2	0.18412452379641642
0	TREATED	CJUN_JNK	0.06282321287265746
0	TREATED	AKT123_EGFR	-0.0976420659326013
0	TREATED	AKT1_EGFR	0.06696476199608058
0	TREATED	SMAD159_BMPR	-0.19496633953210324
0	TREATED	IKBA_AKT1	-0.2573942462949625
0	TREATED	CREB_P38	-0.03676637509114461
0	TREATED	RB_CDC2	-0.19194710186896757
0	TREATED	MAPKAP2_P38	0.24194897786368535
0	TREATED	FAK_SRC	0.009917156561134385
0	TREATED	RB_CDK4	0.7061853702039466
0	TREATED	SMAD15_BMPR	0.0756962916404959
0	TREATED	AKT123_MAPKAP2	-0.026360549794569588
0	TREATED	CJUN_JNK	-0.012282877026114854
0	TREATED	AKT123_EGFR	-0.054486908068009335
0	TREATED	AKT1_EGFR	0.0725461880713894
0	TREATED	SMAD159_BMPR	-0.031256449813572756
0	TREATED	IKBA_AKT1	0.027729577249974754
0	TREATED	CREB_P38	0.0019999999999997242
0	TREATED	RB_CDC2	-0.31426384821413533
0	TREATED	MAPKAP2_P38	0.3428125760248394
0	TREATED	FAK_SRC	-0.12379605862695442
0	TREATED	RB_CDK4	0.978721283392731
0	TREATED	SMAD15_BMPR	-0.20859463541370948
0	TREATED	AKT123_MAPKAP2	0.17587874585062593
0	TREATED	CJUN_JNK	0.0020000000000001137
0	TREATED	AKT123_EGFR	0.15223476935646482
0	TREATED	AKT1_EGFR	-0.05011117913692424
0	TREATED	SMAD159_BMPR	-0.03511430968655063
0	TREATED	IKBA_AKT1	0.5447969268378805
0	TREATED	CREB_P38	0.07430834632615058
0	TREATED	RB_CDC2	2.452069709679166
0	TREATED	MAPKAP2_P38	-0.14432158576781684
0	TREATED	FAK_SRC	0.27273282167338886
0	TREATED	RB_CDK4	2.605004865776977
0	TREATED	SMAD15_BMPR	-0.15717123607893138
0	TREATED	AKT123_MAPKAP2	-0.07636975287612047
0	TREATED	CJUN_JNK	-0.21463869268365338
0	TREATED	AKT123_EGFR	-0.11339711187353711
0	TREATED	AKT1_EGFR	-0.11606399430533985
0	TREATED	SMAD159_BMPR	-0.049812196269757025
0	TREATED	IKBA_AKT1	0.43695885712376237
0	TREATED	CREB_P38	0.15987711467023275
0	TREATED	RB_CDC2	2.842325151788425
0	TREATED	MAPKAP2_P38	-0.1998453185716464
0	TREATED	FAK_SRC	0.29336693567666794
0	TREATED	RB_CDK4	0.19399358073436673
0	TREATED	SMAD15_BMPR	0.14140518606295427
0	TREATED	AKT123_MAPKAP2	-0.09551992703520894
0	TREATED	CJUN_JNK	-0.04310704893136545
0	TREATED	AKT123_EGFR	-0.02140581239522388
0	TREATED	AKT1_EGFR	0.023053654130683346
0	TREATED	SMAD159_BMPR	-0.18767307573259356
0	TREATED	IKBA_AKT1	-0.2230359820009864
0	TREATED	CREB_P38	-0.34941209887184993
0	TREATED	RB_CDC2	1.765692903870874
0	TREATED	MAPKAP2_P38	-0.3515321726482876
0	TREATED	FAK_SRC	0.1609588356917745
0	TREATED	RB_CDK4	-0.34362723516195715
0	TREATED	SMAD15_BMPR	0.34011923721220993
0	TREATED	AKT123_MAPKAP2	-0.2582155227562982
0	TREATED	CJUN_JNK	-0.016202737109985835
0	TREATED	AKT123_EGFR	0.07924146662304815
0	TREATED	AKT1_EGFR	0.11870598003851947
0	TREATED	SMAD159_BMPR	0.024542921519004057
0	TREATED	IKBA_AKT1	0.2232288397160653
0	TREATED	CREB_P38	-0.04716395107071249
0	TREATED	RB_CDC2	0.3081360806762492
0	TREATED	MAPKAP2_P38	-0.20400277656243088
0	TREATED	FAK_SRC	-0.11383574092020629
0	TREATED	RB_CDK4	0.25232298406770737
0	TREATED	SMAD15_BMPR	0.2031493536308416
0	TREATED	AKT123_MAPKAP2	-0.0546391605401704
0	TREATED	CJUN_JNK	0.13123755392933018
0	TREATED	AKT123_EGFR	0.04154951284994148
0	TREATED	AKT1_EGFR	-0.041286617387793115
0	TREATED	SMAD159_BMPR	0.03402803431557411
0	TREATED	IKBA_AKT1	0.04653128635502213
0	TREATED	CREB_P38	-0.08443996528703043
0	TREATED	RB_CDC2	-0.38797306160447453
0	TREATED	MAPKAP2_P38	0.27303143660032386
0	TREATED	FAK_SRC	0.11283542509400493
0	TREATED	RB_CDK4	-0.3094480815429014
0	TREATED	SMAD15_BMPR	0.420516667242216
0	TREATED	AKT123_MAPKAP2	0.0020000000000000018
0	TREATED	CJUN_JNK	0.0193241359912141
0	TREATED	AKT123_EGFR	-0.03833464415118451
0	TREATED	AKT1_EGFR	0.0342661300149803
0	TREATED	SMAD159_BMPR	-0.14954465536317196
0	TREATED	IKBA_AKT1	0.26886674635544044
0	TREATED	CREB_P38	-0.19477595932123246
0	TREATED	RB_CDC2	2.294987061759893
0	TREATED	MAPKAP2_P38	0.0020000000000000018
0	TREATED	FAK_SRC	0.3492460563236671
0	TREATED	RB_CDK4	-0.1994065143180802
0	TREATED	SMAD15_BMPR	-0.25098585167973714
0	TREATED	AKT123_MAPKAP2	-0.11960114574178528
0	TREATED	CJUN_JNK	-0.07723310323926252
0	TREATED	AKT123_EGFR	0.03590612096045429
0	TREATED	AKT1_EGFR	-0.15923692059676614
0	TREATED	SMAD159_BMPR	-0.03790180971386989
0	TREATED	IKBA_AKT1	0.07082956058562327
0	TREATED	CREB_P38	0.12851487432589676
0	TREATED	RB_CDC2	1.8065349576388487
0	TREATED	MAPKAP2_P38	-0.02657247257970944
0	TREATED	FAK_SRC	0.0671543960979418
0	TREATED	RB_CDK4	1.6261840462934436
0	TREATED	SMAD15_BMPR	-0.29753210676779945
0	TREATED	AKT123_MAPKAP2	-0.24484729583583545
0	TREATED	CJUN_JNK	-0.2620533546646667
0	TREATED	AKT123_EGFR	0.07829174370744785
0	TREATED	AKT1_EGFR	0.024298777470893984
0	TREATED	SMAD159_BMPR	0.15923375226804828
0	TREATED	IKBA_AKT1	0.1391537442216083
0	TREATED	CREB_P38	0.008017872901649351
0	TREATED	RB_CDC2	1.4333372257884462
0	TREATED	MAPKAP2_P38	0.058889488426540994
0	TREATED	FAK_SRC	-0.2839188177985124
0	TREATED	RB_CDK4	0.4533006672898215
0	TREATED	SMAD15_BMPR	0.13502295016412608
0	TREATED	AKT123_MAPKAP2	-0.22312120774483266
