""	"Sos"	"Ras"	"Raf1"	"Mek"	"Erk"	"P90Rsk"	"PI3K"	"Akt"	"C3G"	"Rap1"	"bRaf"
"Sos"	-1	0	0	0	0	-0.9845918436130646	0	0	0	0	0
"Ras"	0.999990220027183	-1	0	0	0	0	0	0	0	0	0
"Raf1"	0	1.0001113629284442	-1	0	0	0	0	-0.39768789891919826	0	0	0
"Mek"	0	0	0	-1	0	0	0	0	0	0	0.08844693448935208
"Erk"	0	0	0	0.04940076128593107	-1	0	0	0	0	0	0
"P90Rsk"	0	0	0	0	0.2521887377005051	-1	0	0	0	0	0
"PI3K"	0	0.000014115774142444921	0	0	0	0	-1	0	0	0	0
"Akt"	0	0	0	0	0	0	0.39612303273522637	-1	0	0	0
"C3G"	0	0	0	0	0	0	0	0	-1	0	0
"Rap1"	0	0	0	0	0	0	0	0	0.9993602219089815	-1	0
"bRaf"	0	0.007375362615519584	0	0	0	0	0	0	0	0.47703230838447164	-1
