""	"Sos"	"Ras"	"Raf1"	"Mek"	"Erk"	"P90Rsk"	"PI3K"	"Akt"	"C3G"	"Rap1"	"bRaf"
"Sos"	-1	0	0	0	0	-0.955423325456904	0	0	0	0	0
"Ras"	0.9970313170888131	-1	0	0	0	0	0	0	0	0	0
"Raf1"	0	1.0317132814301304	-1	0	0	0	0	-0.42377190354000416	0	0	0
"Mek"	0	0	0.3124868635345946	-1	0	0	0	0	0	0	0.6899515856369846
"Erk"	0	0	0	0.9396687380105805	-1	0	0	0	0	0	0
"P90Rsk"	0	0	0	0	0.7671771230395954	-1	0	0	0	0	0
"PI3K"	0	0.0038868351183246196	0	0	0	0	-1	0	0	0	0
"Akt"	0	0	0	0	0	0	0.3950953420734062	-1	0	0	0
"C3G"	0	0	0	0	0	0	0	0	-1	0	0
"Rap1"	0	0	0	0	0	0	0	0	0.9993602219089815	-1	0
"bRaf"	0	0.9155959199208717	0	0	0	0	0	0	0	0.20531492593304285	-1
