""	"Sos"	"Ras"	"Raf1"	"Mek"	"Erk"	"P90Rsk"	"PI3K"	"Akt"	"C3G"	"Rap1"	"bRaf"
"Sos"	-1	0	0	0	0	-0.8070518419426879	0	0	0	0	0
"Ras"	0.9998774019578067	-1	0	0	0	0	0	0	0	0	0
"Raf1"	0	1.0013925331456877	-1	0	0	0	0	-0.3987184142289482	0	0	0
"Mek"	0	0	0.08717387716936029	-1	0	0	0	0	0	0	0.9132208908673157
"Erk"	0	0	0	0.9916778180122657	-1	0	0	0	0	0	0
"P90Rsk"	0	0	0	0	0.956689667370709	-1	0	0	0	0	0
"PI3K"	0	0.00017625871707822256	0	0	0	0	-1	0	0	0	0
"Akt"	0	0	0	0	0	0	0.39608093354256296	-1	0	0	0
"C3G"	0	0	0	0	0	0	0	0	-1	0	0
"Rap1"	0	0	0	0	0	0	0	0	0.9993602219089815	-1	0
"bRaf"	0	0.16598591229270446	0	0	0	0	0	0	0	0.8581777862370672	-1
