""	"Sos"	"Ras"	"Raf1"	"Mek"	"Erk"	"P90Rsk"	"PI3K"	"Akt"	"C3G"	"Rap1"	"bRaf"
"Sos"	0.9807017469914533	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
"Ras"	0.	0.2303914652546494	0.	0.	0.	0.	0.	0.	0.	0.	0.
"Raf1"	0.	0.	0.34215222904798615	0.	0.	0.	0.	0.	0.	0.	0.
"Mek"	0.	0.	0.	1.0446066580616946	0.	0.	0.	0.	0.	0.	0.
"Erk"	0.	0.	0.	0.	1.0055768113434085	0.	0.	0.	0.	0.	0.
"P90Rsk"	0.	0.	0.	0.	0.	0.9906351417583571	0.	0.	0.	0.	0.
"PI3K"	0.	0.	0.	0.	0.	0.	0.9835271218290114	0.	0.	0.	0.
"Akt"	0.	0.	0.	0.	0.	0.	0.	0.9741454593663587	0.	0.	0.
"C3G"	0.	0.	0.	0.	0.	0.	0.	0.	0.9814683181427524	0.	0.
"Rap1"	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.23198446799693198	0.
"bRaf"	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.3224382862924127
