""	"Sos"	"Ras"	"Raf1"	"Mek"	"Erk"	"P90Rsk"	"PI3K"	"Akt"	"C3G"	"Rap1"	"bRaf"
"Sos"	0.9808051361995089	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
"Ras"	0.	0.2376964226130205	0.	0.	0.	0.	0.	0.	0.	0.	0.
"Raf1"	0.	0.	0.3532512328244826	0.	0.	0.	0.	0.	0.	0.	0.
"Mek"	0.	0.	0.	0.9002222801465675	0.	0.	0.	0.	0.	0.	0.
"Erk"	0.	0.	0.	0.	0.6927481322095572	0.	0.	0.	0.	0.	0.
"P90Rsk"	0.	0.	0.	0.	0.	0.9193403146730775	0.	0.	0.	0.	0.
"PI3K"	0.	0.	0.	0.	0.	0.	0.9843101444345193	0.	0.	0.	0.
"Akt"	0.	0.	0.	0.	0.	0.	0.	0.974274245575161	0.	0.	0.
"C3G"	0.	0.	0.	0.	0.	0.	0.	0.	0.9814683181427526	0.	0.
"Rap1"	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.23198446799693204	0.
"bRaf"	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.38417790709579563
