""	"Sos"	"Ras"	"Raf1"	"Mek"	"Erk"	"P90Rsk"	"PI3K"	"Akt"	"C3G"	"Rap1"	"bRaf"
"Sos"	0.9812542885687751	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
"Ras"	0.	0.23067834781072555	0.	0.	0.	0.	0.	0.	0.	0.	0.
"Raf1"	0.	0.	0.3426013851126338	0.	0.	0.	0.	0.	0.	0.	0.
"Mek"	0.	0.	0.	0.8899603228395728	0.	0.	0.	0.	0.	0.	0.
"Erk"	0.	0.	0.	0.	0.636766339707811	0.	0.	0.	0.	0.	0.
"P90Rsk"	0.	0.	0.	0.	0.	0.8755443824185987	0.	0.	0.	0.	0.
"PI3K"	0.	0.	0.	0.	0.	0.	0.9835595848636581	0.	0.	0.	0.
"Akt"	0.	0.	0.	0.	0.	0.	0.	0.9741507410451619	0.	0.	0.
"C3G"	0.	0.	0.	0.	0.	0.	0.	0.	0.9814683181430985	0.	0.
"Rap1"	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.23198446799693204	0.
"bRaf"	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.35050741524306905
